"No","Location","Sex","Age","Height","Weight","Singapore.year","clo","Tair","velocity","SET.","TS","TP","TC","TA","HS","HA","AMS","AMA","AMP","Sweating","IAQ.acceptability","AF","Odor.intensity","Dry.eye","RH","TP_ctg","TA_ctg"
18,1,2,20,154,58,20,0.3,24,0.072701,22.032,-1,0,2,1,0,1,-1,1,0,0,0.1,83,0,1,89,0,0
18,3,2,20,154,58.2,20,0.31,24,0.072701,22.114,-2,0,2,1,0,1,-3,1,0,0,1,83,0,0.1,89,0,0
18,5,2,20,154,57.35,20,0.3,24,0.072701,22.032,-2,0,1,1,1,0.1,-3,0.1,0,0,0.1,50,2,0.1,89,0,0
18,1,2,20,154,58,20,0.3,24,0.94069,17.851,-2,1,1,1,0,1,1,0.1,-1,0,0.1,83,0,1,60,1,0
18,3,2,20,154,58.2,20,0.31,24,0.94069,17.97,-3,1,1,1,0,1,-2,1,0,0,1,83,0,0.1,60,1,0
18,5,2,20,154,57.35,20,0.3,24,0.94069,17.851,-3,1,1,0.1,1,0.1,-1,0.1,0,0,0.1,67,0,0.1,60,1,0
18,1,2,20,154,58,20,0.3,24,1.8709,16.388,-3,2,-1,-0.1,0,1,3,-0.1,-2,0,0.1,83,0,0.1,60,1,1
18,5,2,20,154,57.35,20,0.3,24,1.8709,16.388,-3,1,0.1,0.1,0,0.1,2,0.1,0,0,0.1,67,0,0.1,60,1,0
18,1,2,20,154,58,20,0.3,24,0.072701,22.032,-1,0,2,0.1,0,1,-1,1,0,0,0.1,67,0,0.1,89,0,0
18,1,2,20,154,57.35,20,0.3,24,0.072701,22.032,-1,0,2,1,0,1,-3,1,0,0,1,83,0,0.1,89,0,0
18,5,2,20,154,57.55,20,0.3,24,0.072701,22.032,-2,0,1,0.1,1,0.1,-3,0.1,0,0,0.1,50,2,0.1,89,0,0
18,1,2,20,154,58,20,0.3,24,0.94069,17.851,-2,0,1,1,0,1,1,0.1,-1,0,1,83,0,0.1,60,0,0
18,1,2,20,154,57.35,20,0.3,24,0.94069,17.851,-1,0,2,1,0,1,-1,0.1,0,0,0.1,83,1,0.1,60,0,0
18,5,2,20,154,57.55,20,0.3,24,0.94069,17.851,-3,0,1,0.1,1,0.1,-1,0.1,0,0,0.1,83,1,0.1,60,0,0
18,1,2,20,154,57.35,20,0.3,24,1.8709,16.388,-3,1,1,0.1,0,1,3,0.1,-1,0,1,83,0,0.1,60,1,0
18,5,2,20,154,57.55,20,0.3,24,1.8709,16.388,-3,1,-0.1,0.1,-1,0.1,1,-0.1,-1,0,0.1,83,0,0.1,60,1,0
18,1,2,20,154,58.15,20,0.75,27,0.072701,29.059,-1,0,2,1,0,1,0,0.1,0,0,1,83,0,0.1,66,0,0
18,5,2,20,154,56.75,20,0.39,27,0.072701,26.325,-1,0,2,1,1,0.1,-3,1,0,0,1,83,1,0.1,69,0,0
18,5,2,20,154,56.8,20,0.53,27,0.072701,27.444,-2,0,1,0.1,0,0.1,0,0.1,0,0,0.1,67,0,0.1,68,0,0
18,1,2,20,154,59.3,20,0.3,27,0.94069,21.559,-1,-1,1,0.1,1,0.1,-1,1,1,0,1,83,0,0.1,60,2,0
18,1,2,20,154,58.15,20,0.75,27,0.94069,25.509,-2,0,2,1,1,0.1,-3,1,0,0,0.1,83,0,0.1,60,0,0
18,5,2,20,154,56.75,20,0.39,27,0.94069,22.407,-1,0,1,1,1,0.1,-1,1,0,0,1,83,0,0.1,60,0,0
18,5,2,20,154,56.8,20,0.53,27,0.94069,23.629,-1,-1,0.1,0.1,0,0.1,-1,0.1,0,0,0.1,83,0,0.1,60,2,0
18,1,2,20,154,58.15,20,0.75,27,1.8709,24.616,-2,0,2,1,0,1,0,0.1,-1,0,1,100,0,0.1,60,0,0
18,5,2,20,154,56.75,20,0.39,27,1.8709,21.339,-2,0,1,1,1,0.1,1,0.1,-1,0,0.1,83,0,0.1,60,0,0
18,5,2,20,154,56.8,20,0.53,27,1.8709,22.661,-1,0,1,0.1,1,0.1,1,0.1,0,0,0.1,67,0,0.1,60,0,0
18,1,2,20,154,59.3,20,0.3,27,0.072701,25.567,-1,0,1,1,0,1,-2,0.1,1,0,0.1,83,0,0.1,71,0,0
18,5,2,20,154,57.3,20,0.3,27,0.072701,25.567,1,-1,0.1,0.1,1,0.1,-3,0.1,0,1,0.1,67,0,0.1,71,2,0
18,5,2,20,154,56.9,20,0.3,27,0.072701,25.567,-1,-1,0.1,0.1,0,0.1,-3,0.1,0,0,0.1,50,2,0.1,71,2,0
18,5,2,20,154,57.3,20,0.3,27,0.94069,21.559,-1,0,1,1,1,0.1,-1,0.1,0,0,0.1,67,0,0.1,60,0,0
18,5,2,20,154,56.9,20,0.3,27,0.94069,21.559,-2,0,1,0.1,1,0.1,1,0.1,0,0,0.1,67,1,0.1,60,0,0
18,1,2,20,154,59.3,20,0.3,27,1.8709,20.413,-2,0,2,1,1,1,1,0.1,0,0,1,83,1,0.1,60,0,0
18,5,2,20,154,57.3,20,0.3,27,1.8709,20.413,-2,0,2,1,2,-0.1,1,0.1,0,0,1,67,0,-0.1,60,0,0
18,5,2,20,154,56.9,20,0.3,27,1.8709,20.413,-3,1,0.1,0.1,0,0.1,2,0.1,-1,0,0.1,83,0,0.1,60,1,0
18,7,2,20,154,58.8,20,0.3,30,0.072701,29.326,1,-2,-0.1,-0.1,-1,-0.1,-3,-0.1,1,1,0.1,50,0,-0.1,66,2,1
18,5,2,20,154,57.25,20,0.31,30,0.072701,29.403,2,-2,-2,-0.1,-1,-0.1,-3,-1,1,1,0.1,83,0,0.1,66,2,1
18,5,2,20,154,56.8,20,0.3,30,0.072701,29.326,1,-1,0.1,0.1,-1,0.1,-3,0.1,1,1,0.1,83,1,0.1,66,2,0
18,7,2,20,154,58.8,20,0.3,30,0.94069,24.858,-1,0,1,0.1,0,0.1,0,0.1,0,0,0.1,34,1,0.1,60,0,0
18,5,2,20,154,57.25,20,0.31,30,0.94069,24.952,-1,-1,1,0.1,1,0.1,-1,0.1,0,0,0.1,83,0,0.1,60,2,0
18,5,2,20,154,56.8,20,0.3,30,0.94069,24.858,-1,0,1,0.1,0,0.1,-1,0.1,0,0,0.1,83,0,1,60,0,0
18,7,2,20,154,58.8,20,0.3,30,1.8709,23.803,-1,0,2,1,0,0.1,2,1,0,0,0.1,67,0,0.1,60,0,0
18,5,2,20,154,57.25,20,0.31,30,1.8709,23.9,-1,0,1,0.1,0,1,1,0.1,0,0,0.1,83,0,1,60,0,0
18,5,2,20,154,56.8,20,0.3,30,1.8709,23.803,-1,0,1,0.1,0,0.1,1,0.1,0,0,0.1,83,0,0.1,60,0,0
18,7,2,20,154,59,20,0.3,30,0.072701,29.326,1,-1,-0.1,0.1,-2,-0.1,-3,-0.1,1,1,0.1,50,1,0.1,66,2,0
18,5,2,20,154,57.4,20,0.3,30,0.072701,29.326,-2,0,1,0.1,1,0.1,-3,0.1,0,0,0.1,83,0,0.1,66,0,0
18,5,2,20,154,56.95,20,0.3,30,0.072701,29.326,0,-1,-0.1,0.1,1,0.1,-3,0.1,0,1,0.1,67,0,0.1,66,2,0
18,7,2,20,154,59,20,0.3,30,0.94069,24.858,-1,0,1,1,0,1,1,1,0,0,0.1,67,0,1,60,0,0
18,5,2,20,154,57.4,20,0.3,30,0.94069,24.858,0,-1,0.1,0.1,1,0.1,-1,0.1,0,0,0.1,83,0,0.1,60,2,0
18,5,2,20,154,56.95,20,0.3,30,0.94069,24.858,0,-2,-0.1,0.1,1,0.1,-1,0.1,0,0,0.1,67,0,0.1,60,2,0
18,7,2,20,154,59,20,0.3,30,1.8709,23.803,-2,0,2,1,0,1,3,1,0,0,0.1,67,0,0.1,60,0,0
18,5,2,20,154,57.4,20,0.3,30,1.8709,23.803,-1,0,0.1,0.1,1,0.1,1,0.1,0,0,0.1,83,0,0.1,60,0,0
18,5,2,20,154,56.95,20,0.3,30,1.8709,23.803,0,-1,0.1,0.1,1,0.1,1,0.1,0,0,0.1,67,0,0.1,60,2,0
