"ta","mode","oc1","oc2","oc3","oc4","oc5","oc6","oc7","oc8","oc9","oc10","oc11","oc12","oc13","oc14","oc15","oc16"
22,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0
22,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
22,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0
22.1,2,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
22.1,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
22.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.2,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.2,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0
22.2,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.2,3,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
22.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.3,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.3,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0
22.3,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.3,3,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
22.3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.4,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.4,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0
22.4,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.4,3,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
22.4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.5,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0
22.5,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.5,3,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
22.5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.6,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.6,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.6,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.6,3,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
22.6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.7,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0
22.7,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
22.7,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
22.7,3,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
22.7,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.8,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0
