"Tair","FanMode","Velocity","Humidity","SET*","18"
22,0,0.07,50,20.4107032000114,0.839527667537701
22,1,0.29,50,19.6890930034132,0.83576796056297
22,2,0.58,50,18.111300655776,0.422063118853109
22,3,0.94,50,17.0171496277535,0.174036455745223
22,4,1.37,50,16.1856963490387,0.176426393305327
22,5,1.87,50,15.5225630130966,0.0347332974808736
22.5,0,0.07,50,20.9348189988475,0.894051648031749
22.5,1,0.29,50,20.2267146787686,0.834127423561798
22.5,2,0.58,50,18.6856742662832,0.476312826063244
22.5,3,0.94,50,17.622962886865,0.376725966625435
22.5,4,1.37,50,16.8187835454156,0.102766276909977
22.5,5,1.87,50,16.1795392044093,0
23,0,0.07,50,21.4567059433781,0.822068108578234
23,1,0.29,50,20.7612194681658,0.910418832413798
23,2,0.58,50,19.2549546963511,0.664474551314296
23,3,0.94,50,18.2218340460146,0.51607023822385
23,4,1.37,50,17.4435208874066,0.347252340943319
23,5,1.87,50,16.8270917563112,0.0638018151253117
23.5,0,0.07,50,21.975912132999,0.863149297390692
23.5,1,0.29,50,21.2922429942955,0.942772623450367
23.5,2,0.58,50,19.81868426042,0.785576167622465
23.5,3,0.94,50,18.8136841838043,0.577828551262451
23.5,4,1.37,50,18.0596212084672,0.49032807113575
23.5,5,1.87,50,17.464646712629,0.254094335928451
24,0,0.07,50,22.4844194972403,0.877026888635135
24,1,0.29,50,21.8192427655917,0.875297111102147
24,2,0.58,50,20.3765724403561,0.752083163270503
24,3,0.94,50,19.3980531350001,0.789631436882856
24,4,1.37,50,18.6669056622467,0.500355814174535
24,5,1.87,50,18.0918981775217,0.315365112253873
24.5,0,0.07,50,22.9939457032126,0.775992788225952
24.5,1,0.29,50,22.330878371875,0.904817715969559
24.5,2,0.58,50,20.9280991822253,0.840148444168294
24.5,3,0.94,50,19.9745033460314,0.870976949445872
24.5,4,1.37,50,19.2649309354768,0.772727486514975
24.5,5,1.87,50,18.7087240217549,0.470451033754294
25,0,0.07,50,23.5050276104742,0.795194099738103
25,1,0.29,50,22.8277173270748,0.905157487293785
25,2,0.58,50,21.4725840043044,0.874794714613782
25,3,0.94,50,20.5425053422379,0.833536294634871
25,4,1.37,50,19.853064665958,0.871104891474239
25,5,1.87,50,19.3145055799952,0.684853807761341
25.5,0,0.07,50,24.0182157531774,0.790985982415637
25.5,1,0.29,50,23.3269444724371,0.814776466677965
25.5,2,0.58,50,22.0089657339176,0.777318385258232
25.5,3,0.94,50,21.1014594139077,0.94213782015267
25.5,4,1.37,50,20.4310296251202,0.784507099130126
25.5,5,1.87,50,19.9086745678087,0.695059384760882
26,0,0.07,50,24.5332410775011,0.674217555227158
26,1,0.29,50,23.8285445905908,0.826291499519514
26,2,0.58,50,22.5009206408881,0.822663380948392
26,3,0.94,50,21.6503506477829,0.93982645661665
26,4,1.37,50,20.9978643084829,0.948215361336693
26,5,1.87,50,20.4909115058414,0.748257058646776
26.5,0,0.07,50,25.0499107567446,0.679406949616399
26.5,1,0.29,50,24.3322147906177,0.810826565494828
26.5,2,0.58,50,22.9866482196973,0.829137161978445
26.5,3,0.94,50,22.1822956750772,0.843298844963266
26.5,4,1.37,50,21.5528899822347,0.955468142264912
26.5,5,1.87,50,21.0603242381717,0.852105248546885
27,0,0.07,50,25.5682278751433,0.662850277227112
27,1,0.29,50,24.8381943807463,0.706347041935785
27,2,0.58,50,23.475576126657,0.711966537793535
27,3,0.94,50,22.660823067868,0.9142187297101
27,4,1.37,50,22.0944472274434,0.803725886114414
27,5,1.87,50,21.6161439379016,0.771989887820975
27.5,0,0.07,50,26.0881281760461,0.535646356640076
27.5,1,0.29,50,25.3464036781016,0.705245032258859
27.5,2,0.58,50,23.9667352539539,0.740900927543479
27.5,3,0.94,50,23.1474448398992,0.886968883391081
27.5,4,1.37,50,22.5765669553959,0.925914091088764
27.5,5,1.87,50,22.1485026418078,0.762090110934687
28,0,0.07,50,26.6097104905337,0.532717388757272
28,1,0.29,50,25.856913424179,0.678762957528752
28,2,0.58,50,24.4609306168577,0.732687271027164
28,3,0.94,50,23.6371737054424,0.77257688155233
28,4,1.37,50,23.0657817781482,0.90611101608766
28,5,1.87,50,22.6363902262938,0.82597330058693
28.5,0,0.07,50,27.1328243041277,0.510822876952679
28.5,1,0.29,50,26.3697302729813,0.56524528824637
28.5,2,0.58,50,24.9583275254006,0.602244816158893
28.5,3,0.94,50,24.1296474354542,0.82741642882458
28.5,4,1.37,50,23.558322857735,0.735475321685667
28.5,5,1.87,50,23.1302765375112,0.719709706861114
29,0,0.07,50,27.6574735256964,0.381400377811847
29,1,0.29,50,26.884868161936,0.557521499184397
29,2,0.58,50,25.4590619426175,0.619160126654606
29,3,0.94,50,24.6257586663505,0.78589983935152
29,4,1.37,50,24.0539153818027,0.841018746917336
29,5,1.87,50,23.6275743798624,0.690980655927766
29.5,0,0.07,50,28.1836337037002,0.379533075964916
29.5,1,0.29,50,27.4023395169864,0.527241408760029
29.5,2,0.58,50,25.9629910887695,0.600451584245502
29.5,3,0.94,50,25.1255016374369,0.658529246065691
29.5,4,1.37,50,24.553222841108,0.806480099920239
29.5,5,1.87,50,24.1283562772269,0.738212399216968
30,0,0.07,50,28.7112618173101,0.361875276936557
30,1,0.29,50,27.922157099547,0.413009248953939
30,2,0.58,50,26.4704355668459,0.461413162826408
30,3,0.94,50,25.6290435784136,0.701663437306444
30,4,1.37,50,25.056468894298,0.622435413451608
30,5,1.87,50,24.6329447488381,0.617127725080096
