"Tair","FanMode","Velocity","Humidity","SET*","24"
22,0,0.07,50,20.4107032000114,0.441469731979582
22,1,0.29,50,19.6890930034132,0.53013648619683
22,2,0.58,50,18.111300655776,0.407977378230336
22,3,0.94,50,17.0171496277535,0.461542439145741
22,4,1.37,50,16.1856963490387,0.440014904094581
22,5,1.87,50,15.5225630130966,0.234686467885793
22.5,0,0.07,50,20.9348189988475,0.492390601578829
22.5,1,0.29,50,20.2267146787686,0.560282275888307
22.5,2,0.58,50,18.6856742662832,0.455816549776275
22.5,3,0.94,50,17.622962886865,0.39961558584346
22.5,4,1.37,50,16.8187835454156,0.468486384695188
22.5,5,1.87,50,16.1795392044093,0.34234261407686
23,0,0.07,50,21.4567059433781,0.519624206534936
23,1,0.29,50,20.7612194681658,0.500938241063809
23,2,0.58,50,19.2549546963511,0.382707602197273
23,3,0.94,50,18.2218340460146,0.51003328086877
23,4,1.37,50,17.4435208874066,0.350698744589202
23,5,1.87,50,16.8270917563112,0.285860247852118
23.5,0,0.07,50,21.975912132999,0.432999900475618
23.5,1,0.29,50,21.2922429942955,0.543236852354065
23.5,2,0.58,50,19.81868426042,0.456900321950906
23.5,3,0.94,50,18.8136841838043,0.526119746581849
23.5,4,1.37,50,18.0596212084672,0.512435446817345
23.5,5,1.87,50,17.464646712629,0.311399817347005
24,0,0.07,50,22.4844194972403,0.466592015910105
24,1,0.29,50,21.8192427655917,0.557223330662837
24,2,0.58,50,20.3765724403561,0.493884538756099
24,3,0.94,50,19.3980531350001,0.457104486511954
24,4,1.37,50,18.6669056622467,0.536300556645616
24,5,1.87,50,18.0918981775217,0.416159678531283
24.5,0,0.07,50,22.9939457032126,0.475994284634491
24.5,1,0.29,50,22.330878371875,0.480515724999307
24.5,2,0.58,50,20.9280991822253,0.407351671332069
24.5,3,0.94,50,19.9745033460314,0.557920859190222
24.5,4,1.37,50,19.2649309354768,0.411602638428011
24.5,5,1.87,50,18.7087240217549,0.354669168721473
25,0,0.07,50,23.5050276104742,0.371943115524195
25,1,0.29,50,22.8277173270748,0.505459658641848
25,2,0.58,50,21.4725840043044,0.465732391864574
25,3,0.94,50,20.5425053422379,0.561743911908251
25,4,1.37,50,19.853064665958,0.563857256599275
25,5,1.87,50,19.3145055799952,0.372784353391091
25.5,0,0.07,50,24.0182157531774,0.389247075949479
25.5,1,0.29,50,23.3269444724371,0.502566840574103
25.5,2,0.58,50,22.0089657339176,0.485011633781918
25.5,3,0.94,50,21.1014594139077,0.477867619973388
25.5,4,1.37,50,20.4310296251202,0.575523759368964
25.5,5,1.87,50,19.9086745678087,0.467460899560544
26,0,0.07,50,24.5332410775011,0.384805648820104
26,1,0.29,50,23.8285445905908,0.410005929652009
26,2,0.58,50,22.5009206408881,0.380984076903237
26,3,0.94,50,21.6503506477829,0.561578297868361
26,4,1.37,50,20.9978643084829,0.435968701439088
26,5,1.87,50,20.4909115058414,0.393124621561566
26.5,0,0.07,50,25.0499107567446,0.270391419258638
26.5,1,0.29,50,24.3322147906177,0.420671223792808
26.5,2,0.58,50,22.9866482196973,0.422609298447053
26.5,3,0.94,50,22.1822956750772,0.546925771758693
26.5,4,1.37,50,21.5528899822347,0.5710688752272
26.5,5,1.87,50,21.0603242381717,0.395764453216187
27,0,0.07,50,25.5682278751433,0.281500194907075
27,1,0.29,50,24.8381943807463,0.406422442727775
27,2,0.58,50,23.475576126657,0.42635154301263
27,3,0.94,50,22.660823067868,0.445858085685071
27,4,1.37,50,22.0944472274434,0.564008042003315
27,5,1.87,50,21.6161439379016,0.472782722062751
27.5,0,0.07,50,26.0881281760461,0.275206853460696
27.5,1,0.29,50,25.3464036781016,0.306202641202773
27.5,2,0.58,50,23.9667352539539,0.307477258538215
27.5,3,0.94,50,23.1474448398992,0.513166123494372
27.5,4,1.37,50,22.5765669553959,0.406915357265156
27.5,5,1.87,50,22.1485026418078,0.379647667573311
28,0,0.07,50,26.6097104905337,0.162965835518827
28,1,0.29,50,25.856913424179,0.313253369143025
28,2,0.58,50,24.4609306168577,0.3360608262293
28,3,0.94,50,23.6371737054424,0.483499574380578
28,4,1.37,50,23.0657817781482,0.525228138121891
28,5,1.87,50,22.6363902262938,0.364580165316167
28.5,0,0.07,50,27.1328243041277,0.179602959995673
28.5,1,0.29,50,26.3697302729813,0.299373736063716
28.5,2,0.58,50,24.9583275254006,0.329694029742627
28.5,3,0.94,50,24.1296474354542,0.36776268851966
28.5,4,1.37,50,23.558322857735,0.502793048300958
28.5,5,1.87,50,23.1302765375112,0.424706299809925
29,0,0.07,50,27.6574735256964,0.181289002633882
29,1,0.29,50,26.884868161936,0.203028923464012
29,2,0.58,50,25.4590619426175,0.204222951069382
29,3,0.94,50,24.6257586663505,0.422836691526015
29,4,1.37,50,24.0539153818027,0.33055813770106
29,5,1.87,50,23.6275743798624,0.315865140151091
29.5,0,0.07,50,28.1836337037002,0.0785391912129691
29.5,1,0.29,50,27.4023395169864,0.216716719926429
29.5,2,0.58,50,25.9629910887695,0.230047863996174
29.5,3,0.94,50,25.1255016374369,0.384077679117037
29.5,4,1.37,50,24.553222841108,0.436003505675962
29.5,5,1.87,50,24.1283562772269,0.285635177843149
30,0,0.07,50,28.7112618173101,0.105312411056766
30,1,0.29,50,27.922157099547,0.211364647076842
30,2,0.58,50,26.4704355668459,0.224627538521784
30,3,0.94,50,25.6290435784136,0.262896926557596
30,4,1.37,50,25.056468894298,0.403774257635131
30,5,1.87,50,24.6329447488381,0.333037485566576
