"Tair","FanMode","Velocity","Humidity","SET*","12"
22,0,0.07,50,20.4107032000114,0.541355664775638
22,1,0.29,50,19.6890930034132,0.525200180440205
22,2,0.58,50,18.111300655776,0.345129159553593
22,3,0.94,50,17.0171496277535,0.30581423809571
22,4,1.37,50,16.1856963490387,0.255460820148951
22,5,1.87,50,15.5225630130966,0.12777446769458
22.5,0,0.07,50,20.9348189988475,0.611520835586491
22.5,1,0.29,50,20.2267146787686,0.585142150017359
22.5,2,0.58,50,18.6856742662832,0.409582917282617
22.5,3,0.94,50,17.622962886865,0.309541914961122
22.5,4,1.37,50,16.8187835454156,0.29899374194242
22.5,5,1.87,50,16.1795392044093,0.206366090961125
23,0,0.07,50,21.4567059433781,0.668771783659417
23,1,0.29,50,20.7612194681658,0.600999456014324
23,2,0.58,50,19.2549546963511,0.416519451182601
23,3,0.94,50,18.2218340460146,0.403668547450599
23,4,1.37,50,17.4435208874066,0.27430292330607
23,5,1.87,50,16.8270917563112,0.208101084210334
23.5,0,0.07,50,21.975912132999,0.665346587685359
23.5,1,0.29,50,21.2922429942955,0.667047094262558
23.5,2,0.58,50,19.81868426042,0.499263062626216
23.5,3,0.94,50,18.8136841838043,0.454248576143238
23.5,4,1.37,50,18.0596212084672,0.393895876234518
23.5,5,1.87,50,17.464646712629,0.255900865430934
24,0,0.07,50,22.4844194972403,0.712601055222776
24,1,0.29,50,21.8192427655917,0.71603960695338
24,2,0.58,50,20.3765724403561,0.564658914760476
24,3,0.94,50,19.3980531350001,0.465091432895258
24,4,1.37,50,18.6669056622467,0.448443892021267
24,5,1.87,50,18.0918981775217,0.34791668017765
24.5,0,0.07,50,22.9939457032126,0.729195085311313
24.5,1,0.29,50,22.330878371875,0.711742117020594
24.5,2,0.58,50,20.9280991822253,0.56842988063786
24.5,3,0.94,50,19.9745033460314,0.562738977178909
24.5,4,1.37,50,19.2649309354768,0.431754642025143
24.5,5,1.87,50,18.7087240217549,0.360710193599922
25,0,0.07,50,23.5050276104742,0.653601883213668
25,1,0.29,50,22.8277173270748,0.74298991887723
25,2,0.58,50,21.4725840043044,0.643116379592932
25,3,0.94,50,20.5425053422379,0.612727751703402
25,4,1.37,50,19.853064665958,0.555591338168519
25,5,1.87,50,19.3145055799952,0.416271487051707
25.5,0,0.07,50,24.0182157531774,0.584925966500587
25.5,1,0.29,50,23.3269444724371,0.732418927803279
25.5,2,0.58,50,22.0089657339176,0.693669046492798
25.5,3,0.94,50,21.1014594139077,0.618379645561678
25.5,4,1.37,50,20.4310296251202,0.610113402971756
25.5,5,1.87,50,19.9086745678087,0.512016124800363
26,0,0.07,50,24.5332410775011,0.453912223644314
26,1,0.29,50,23.8285445905908,0.63075713916214
26,2,0.58,50,22.5009206408881,0.67054635731727
26,3,0.94,50,21.6503506477829,0.705244300848918
26,4,1.37,50,20.9978643084829,0.588664747741941
26,5,1.87,50,20.4909115058414,0.524016968819308
26.5,0,0.07,50,25.0499107567446,0.256324680272553
26.5,1,0.29,50,24.3322147906177,0.526363647782227
26.5,2,0.58,50,22.9866482196973,0.702534593334963
26.5,3,0.94,50,22.1822956750772,0.73612960134915
26.5,4,1.37,50,21.5528899822347,0.702260515144815
26.5,5,1.87,50,21.0603242381717,0.573853263640804
27,0,0.07,50,25.5682278751433,0.156066763922782
27,1,0.29,50,24.8381943807463,0.379734783468088
27,2,0.58,50,23.475576126657,0.683481417260391
27,3,0.94,50,22.660823067868,0.70916980592942
27,4,1.37,50,22.0944472274434,0.738984531040516
27,5,1.87,50,21.6161439379016,0.658151559135902
27.5,0,0.07,50,26.0881281760461,0.0946640576912754
27.5,1,0.29,50,25.3464036781016,0.207727402748094
27.5,2,0.58,50,23.9667352539539,0.554439497405564
27.5,3,0.94,50,23.1474448398992,0.745350286475409
27.5,4,1.37,50,22.5765669553959,0.686692008753506
27.5,5,1.87,50,22.1485026418078,0.650340926749656
28,0,0.07,50,26.6097104905337,0.0153162301064279
28,1,0.29,50,25.856913424179,0.13423236969511
28,2,0.58,50,24.4609306168577,0.449531521861671
28,3,0.94,50,23.6371737054424,0.695091665944652
28,4,1.37,50,23.0657817781482,0.753104259553229
28,5,1.87,50,22.6363902262938,0.667720846707462
28.5,0,0.07,50,27.1328243041277,0.0197095279198179
28.5,1,0.29,50,26.3697302729813,0.0909442011612076
28.5,2,0.58,50,24.9583275254006,0.309300161887358
28.5,3,0.94,50,24.1296474354542,0.549821242896994
28.5,4,1.37,50,23.558322857735,0.71371965471472
28.5,5,1.87,50,23.1302765375112,0.701567680628731
29,0,0.07,50,27.6574735256964,0.0254570722688292
29,1,0.29,50,26.884868161936,0.0316769891480665
29,2,0.58,50,25.4590619426175,0.135615047880125
29,3,0.94,50,24.6257586663505,0.44703317194734
29,4,1.37,50,24.0539153818027,0.548045658554536
29,5,1.87,50,23.6275743798624,0.612441061510606
29.5,0,0.07,50,28.1836337037002,0
29.5,1,0.29,50,27.4023395169864,0.0401264850173512
29.5,2,0.58,50,25.9629910887695,0.0822402957579987
29.5,3,0.94,50,25.1255016374369,0.294815844920791
29.5,4,1.37,50,24.553222841108,0.473939128474917
29.5,5,1.87,50,24.1283562772269,0.509053574595653
30,0,0.07,50,28.7112618173101,0.0043770654721055
30,1,0.29,50,27.922157099547,0.0444091227590222
30,2,0.58,50,26.4704355668459,0.0498814259985794
30,3,0.94,50,25.6290435784136,0.137595310279173
30,4,1.37,50,25.056468894298,0.32138991248748
30,5,1.87,50,24.6329447488381,0.400116110999693
