Indoor Temp,FanMode,Air Velocity,Indoor Humidity,SET*,9,User_2_Predicted_Acceptance,User_3_Predicted_Acceptance,User_5_Predicted_Acceptance,User_6_Predicted_Acceptance,User_7_Predicted_Acceptance,User_9_Predicted_Acceptance,User_12_Predicted_Acceptance,User_13_Predicted_Acceptance,User_14_Predicted_Acceptance,User_16_Predicted_Acceptance,User_17_Predicted_Acceptance,User_18_Predicted_Acceptance,User_19_Predicted_Acceptance,User_20_Predicted_Acceptance,User_23_Predicted_Acceptance,User_24_Predicted_Acceptance,User_25_Predicted_Acceptance,User_26_Predicted_Acceptance
22,0,0.07,50,20.4107032,0.74162703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0.29,50,19.689093,0.696098834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.58,50,18.11130066,0.252418575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0.94,50,17.01714963,0.080208297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,1.37,50,16.18569635,0.129340777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,1.87,50,15.52256301,0.009480738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0.07,50,20.934819,0.80608791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,1,0.29,50,20.22671468,0.727905147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,2,0.58,50,18.68567427,0.291864468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,3,0.94,50,17.62296289,0.238488974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,4,1.37,50,16.81878355,0.022109398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,5,1.87,50,16.1795392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.07,50,21.45670594,0.721837888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0.29,50,20.76121947,0.821595912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,2,0.58,50,19.2549547,0.497357089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0.94,50,18.22183405,0.341239084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,1.37,50,17.44352089,0.222334448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,1.87,50,16.82709176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0.07,50,21.97591213,0.730271861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.5,1,0.29,50,21.29224299,0.848768105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.5,2,0.58,50,19.81868426,0.654680767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,3,0.94,50,18.81368418,0.394597479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,4,1.37,50,18.05962121,0.323418454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,5,1.87,50,17.46464671,0.127595843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.07,50,22.4844195,0.696250907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,0.29,50,21.81924277,0.754215769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,2,0.58,50,20.37657244,0.652808079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,3,0.94,50,19.39805314,0.630812471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,1.37,50,18.66690566,0.315872958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,1.87,50,18.09189818,0.14672561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0.07,50,22.9939457,0.536849334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,1,0.29,50,22.33087837,0.739871312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,2,0.58,50,20.92809918,0.7521977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,3,0.94,50,19.97450335,0.750250018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,4,1.37,50,19.26493094,0.606151471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,5,1.87,50,18.70872402,0.286095669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.07,50,23.50502761,0.493944193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,0.29,50,22.82771733,0.685802253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,2,0.58,50,21.472584,0.7738527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
