Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob,User_2_TP_ctg_Prob,User_4_TP_ctg_Prob,User_5_TP_ctg_Prob,User_6_TP_ctg_Prob,User_7_TP_ctg_Prob,User_9_TP_ctg_Prob,User_10_TP_ctg_Prob,User_12_TP_ctg_Prob,User_13_TP_ctg_Prob,User_14_TP_ctg_Prob,User_16_TP_ctg_Prob,User_17_TP_ctg_Prob,User_18_TP_ctg_Prob,User_19_TP_ctg_Prob,User_20_TP_ctg_Prob,User_21_TP_ctg_Prob,User_22_TP_ctg_Prob,User_23_TP_ctg_Prob,User_24_TP_ctg_Prob,User_25_TP_ctg_Prob,User_26_TP_ctg_Prob
22.0,0,0.07,50,22.0,20.4107032,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366,0.37164366
22.0,1,0.29,50,22.0,19.689093,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663,0.25420663
22.0,2,0.58,50,22.0,18.11130066,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801,0.6913801
22.0,3,0.94,50,22.0,17.01714963,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735,0.72078735
22.0,4,1.37,50,22.0,16.18569635,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965,0.73108965
22.0,5,1.87,50,22.0,15.52256301,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634,0.37111634
22.5,0,0.07,50,22.5,20.934819,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662,0.40338662
22.5,1,0.29,50,22.5,20.22671468,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363,0.32472363
22.5,2,0.58,50,22.5,18.68567427,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691,0.7033691
22.5,3,0.94,50,22.5,17.62296289,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783,0.70547783
