Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance_N10,User_2_Acceptance_N10,User_4_Acceptance_N10,User_5_Acceptance_N10,User_6_Acceptance_N10,User_7_Acceptance_N10,User_9_Acceptance_N10,User_10_Acceptance_N10,User_12_Acceptance_N10,User_13_Acceptance_N10,User_14_Acceptance_N10,User_16_Acceptance_N10,User_17_Acceptance_N10,User_18_Acceptance_N10,User_19_Acceptance_N10,User_20_Acceptance_N10,User_21_Acceptance_N10,User_22_Acceptance_N10,User_23_Acceptance_N10,User_24_Acceptance_N10,User_25_Acceptance_N10,User_26_Acceptance_N10
22.0,0,0.07,50,22.0,20.4107032,0.07435665,0.04750829,0.062632084,0.085142724,0.079066254,0.06478785,0.09666939,0.082397245,0.07159151,0.08773779,0.07633373,0.08189143,0.08539182,0.07164119,0.075425036,0.09028595,0.07333398,0.13579085,0.17079766,0.09128613,0.06432136,0.10955613
22.0,1,0.29,50,22.0,19.689093,0.58343935,0.29050413,0.622401,0.37752324,0.370295,0.58656716,0.27598822,0.4686015,0.19076434,0.44015276,0.76629514,0.53528565,0.6233733,0.37924144,0.52769053,0.34847885,0.47639355,0.6519392,0.18206774,0.3944329,0.6665225,0.14586005
22.0,2,0.58,50,22.0,18.11130066,0.0371413,0.006606531,0.00418924,0.02648678,0.01781747,0.010111417,0.013201069,0.032460082,0.0038751021,0.039764244,0.002074454,0.043797035,0.007864886,0.006621488,0.031656325,0.033371683,0.00886843,0.028798493,0.021562211,0.03092279,0.00018105176,0.0086141955
22.0,3,0.94,50,22.0,17.01714963,0.18542409,0.008727557,0.019082904,0.09237202,0.08689969,0.043882243,0.042350423,0.1586408,0.018593613,0.23017585,0.012631839,0.21971688,0.0327543,0.042200442,0.14857724,0.15400106,0.07409271,0.10560375,0.06797048,0.10529147,0.0005495755,0.041193467
22.0,4,1.37,50,22.0,16.18569635,0.15022087,0.048402157,0.06081792,0.12671067,0.16089983,0.10742288,0.07351723,0.16448128,0.01590569,0.18072373,0.013300263,0.15198055,0.10460157,0.08890054,0.15039386,0.16842633,0.075491555,0.08916094,0.08010093,0.1592354,0.0011133288,0.051113542
22.0,5,1.87,50,22.0,15.52256301,0.1477781,0.09042649,0.076191664,0.12352396,0.15676351,0.115945324,0.07650194,0.14782143,0.017493445,0.14533105,0.0152267255,0.1384658,0.11091126,0.09804895,0.14418522,0.14850168,0.08538292,0.10419182,0.08208546,0.15625769,0.0012818285,0.054515284
22.5,0,0.07,50,22.5,20.934819,0.07392472,0.04763103,0.10088623,0.14763163,0.11340899,0.09307872,0.24130239,0.080364786,0.1823934,0.08093947,0.16685691,0.08396741,0.13910891,0.15006046,0.0761727,0.097282626,0.24413605,0.35671687,0.324048,0.106136486,0.12713104,0.34148484
22.5,1,0.29,50,22.5,20.22671468,0.9285375,0.28553724,0.95181286,0.9220715,0.8099174,0.981909,0.87646335,0.7752729,0.19931203,0.7281253,0.98312986,0.8881838,0.9599147,0.9031272,0.9016599,0.67147577,0.9535428,0.9906287,0.5536088,0.80866194,0.97853094,0.49520862
22.5,2,0.58,50,22.5,18.68567427,0.16464049,0.0053308015,0.006335198,0.10815062,0.050628804,0.036494665,0.013795117,0.08426174,0.002353421,0.090301074,0.0013277056,0.1400813,0.024747137,0.009506439,0.12829481,0.07835626,0.013719829,0.07076669,0.01802657,0.07530635,7.428867e-05,0.0085857
22.5,3,0.94,50,22.5,17.62296289,0.23254447,0.008116888,0.009615726,0.13985933,0.088989034,0.033678483,0.029100427,0.21205,0.013159465,0.24454944,0.010011771,0.24782461,0.0227441,0.028267443,0.22060053,0.22900203,0.050129395,0.10688367,0.043255493,0.16254498,0.0002896592,0.024509767
22.5,4,1.37,50,22.5,16.81878355,0.11552365,0.03438958,0.052713178,0.10008345,0.1317609,0.08768211,0.062229704,0.12585624,0.014191492,0.1329362,0.012024968,0.11537065,0.0878929,0.07642638,0.115185544,0.13126434,0.0670076,0.08847545,0.06972566,0.12960327,0.00080118724,0.044919364
22.5,5,1.87,50,22.5,16.1795392,0.12635708,0.08143597,0.070103176,0.10673267,0.13563482,0.10351847,0.06999581,0.12409975,0.01614073,0.12272103,0.014051851,0.1156685,0.09918188,0.09043829,0.12354189,0.12638517,0.07872488,0.110215224,0.07604613,0.13467416,0.0009791463,0.050253246
23.0,0,0.07,50,23.0,21.45670594,0.10887063,0.06820118,0.15690473,0.3066535,0.27849382,0.1730432,0.38372293,0.12827532,0.3807852,0.12505595,0.24794963,0.12634288,0.18487749,0.28110674,0.124932915,0.25485432,0.3572113,0.39117926,0.40737432,0.16069233,0.28019354,0.5110928
23.0,1,0.29,50,23.0,20.76121947,0.9903617,0.17834221,0.9874567,0.9973637,0.99494016,0.996145,0.99739563,0.9909406,0.95995694,0.98872805,0.99890274,0.9936325,0.9933709,0.99618375,0.9941282,0.98931074,0.9986275,0.99913263,0.9911568,0.99289316,0.9969221,0.99041957
