Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob_N14,User_2_TP_ctg_Prob_N14,User_4_TP_ctg_Prob_N14,User_5_TP_ctg_Prob_N14,User_6_TP_ctg_Prob_N14,User_7_TP_ctg_Prob_N14,User_9_TP_ctg_Prob_N14,User_10_TP_ctg_Prob_N14,User_12_TP_ctg_Prob_N14,User_13_TP_ctg_Prob_N14,User_14_TP_ctg_Prob_N14,User_16_TP_ctg_Prob_N14,User_17_TP_ctg_Prob_N14,User_18_TP_ctg_Prob_N14,User_19_TP_ctg_Prob_N14,User_20_TP_ctg_Prob_N14,User_21_TP_ctg_Prob_N14,User_22_TP_ctg_Prob_N14,User_23_TP_ctg_Prob_N14,User_24_TP_ctg_Prob_N14,User_25_TP_ctg_Prob_N14,User_26_TP_ctg_Prob_N14
22.0,0,0.07,50,22.0,20.4107032,0.35800007,0.40411282,0.29652262,0.27120003,0.44242993,0.31257543,0.45235932,0.38010037,0.35309613,0.37716898,0.49992338,0.3527881,0.6144998,0.29953167,0.28667435,0.28322458,0.42383727,0.1909486,0.32000712,0.45810568,0.5004432,0.33706388
22.0,1,0.29,50,22.0,19.689093,0.3069843,0.25109473,0.2979586,0.5639009,0.37284946,0.31613162,0.3024344,0.26115915,0.31519327,0.32591552,0.41736838,0.30997583,0.64500195,0.14485551,0.21943106,0.2622752,0.330694,0.017068665,0.31812623,0.35095844,0.33427474,0.11536618
22.0,2,0.58,50,22.0,18.11130066,0.68210894,0.43834153,0.09160801,0.6994347,0.87367916,0.7965372,0.14437282,0.72143555,0.6495531,0.7694812,0.9230005,0.65005314,0.99543047,0.21702377,0.4092981,0.6544761,0.7178926,0.00013464822,0.5547286,0.360989,0.8014352,0.12021991
22.0,3,0.94,50,22.0,17.01714963,0.6485881,0.60327417,0.13626413,0.3157015,0.84842414,0.86378163,0.09406731,0.707608,0.6098842,0.7241245,0.9613981,0.6134595,0.9983081,0.27121592,0.46381167,0.7136967,0.54484206,1.0627734e-05,0.7430196,0.40782595,0.8044565,0.078810364
22.0,4,1.37,50,22.0,16.18569635,0.5647988,0.8345945,0.021741658,0.52110916,0.9731671,0.96397567,0.054584473,0.7261117,0.5325923,0.7220805,0.9815969,0.50663304,0.9983185,0.2952272,0.7037969,0.9061043,0.56304973,1.1899643e-05,0.84711057,0.5038652,0.680455,0.15969606
22.0,5,1.87,50,22.0,15.52256301,0.18116657,0.48523536,2.190274e-05,0.071958564,0.41427466,0.78482795,0.0102438675,0.4357891,0.18263586,0.39164743,0.7737701,0.14890563,0.76045084,0.08706816,0.068590015,0.61581856,0.3661224,2.1955522e-05,0.3819404,0.26448527,0.56123334,0.12929802
22.5,0,0.07,50,22.5,20.934819,0.36559787,0.46146902,0.24512549,0.38685396,0.46679616,0.39604568,0.46859682,0.40420517,0.35838524,0.37625384,0.57996404,0.35935548,0.63566285,0.33013242,0.32051134,0.3036107,0.43052578,0.38550127,0.3525462,0.5361615,0.60751486,0.40545025
22.5,1,0.29,50,22.5,20.22671468,0.48122343,0.30938902,0.3355348,0.56425697,0.6205835,0.33364877,0.24036574,0.35991824,0.47431788,0.51872855,0.49025998,0.4822187,0.6786108,0.23809381,0.3545334,0.3218646,0.483639,0.07017671,0.3428117,0.36389294,0.40408707,0.24802631
22.5,2,0.58,50,22.5,18.68567427,0.4295106,0.63998646,0.022900594,0.62606823,0.9496465,0.9148586,0.27993986,0.6921508,0.35815278,0.53000104,0.9539326,0.35432696,0.998226,0.2685641,0.6014228,0.70130736,0.46975288,0.000109893874,0.7259555,0.46481332,0.7902441,0.11430464
22.5,3,0.94,50,22.5,17.62296289,0.54200053,0.6724799,0.025590645,0.24578209,0.921607,0.8925276,0.1237491,0.7063959,0.40844226,0.5601506,0.959538,0.48154643,0.99882174,0.2912883,0.54379433,0.77158386,0.40085837,1.7075767e-05,0.7917307,0.34165832,0.7643923,0.09452075
22.5,4,1.37,50,22.5,16.81878355,0.5040307,0.8362339,0.015142196,0.3197583,0.9759018,0.9627121,0.044901755,0.71108025,0.5010354,0.7177844,0.9736083,0.46369353,0.9985849,0.36775014,0.6970236,0.9301773,0.60305613,1.6627408e-05,0.67517966,0.39556113,0.65978295,0.15332113
22.5,5,1.87,50,22.5,16.1795392,0.18850525,0.36119822,6.1071756e-07,0.023256838,0.47870436,0.89826745,0.008413871,0.4805062,0.1812824,0.40620932,0.755198,0.15099543,0.33045682,0.07444233,0.033482283,0.7036559,0.39167705,0.0001270726,0.6181226,0.29017738,0.4123006,0.22802646
23.0,0,0.07,50,23.0,21.45670594,0.36586735,0.4859492,0.18558566,0.44880566,0.46563867,0.44305602,0.46450126,0.40178776,0.36239526,0.37989378,0.6147377,0.36239257,0.6258094,0.35575113,0.34892318,0.31378582,0.4200077,0.5458097,0.41457453,0.5100733,0.64657515,0.45618466
23.0,1,0.29,50,23.0,20.76121947,0.45903376,0.4221599,0.2697772,0.5642857,0.6992751,0.4507523,0.13943002,0.605432,0.41218904,0.45189747,0.8053346,0.44743887,0.92325544,0.3534583,0.40482485,0.45933184,0.4550779,0.107737966,0.3790089,0.4051105,0.7280491,0.29627204
23.0,2,0.58,50,23.0,19.2549547,0.43963137,0.75330406,0.06811347,0.48746142,0.9529314,0.9498582,0.27794978,0.63616437,0.4413966,0.56239676,0.96258503,0.38350233,0.9990452,0.297798,0.61453104,0.5832309,0.55070895,0.000103762606,0.8407867,0.41784564,0.7278665,0.22357388
23.0,3,0.94,50,23.0,18.22183405,0.2701758,0.72555465,0.009859847,0.22560798,0.92981344,0.92586106,0.1469354,0.6615093,0.23461105,0.38521376,0.9650588,0.2238781,0.9991408,0.29903412,0.63976973,0.71362895,0.3291547,2.2524182e-05,0.82340527,0.30044666,0.73953724,0.11437395
23.0,4,1.37,50,23.0,17.44352089,0.41815808,0.83337027,0.0090439655,0.30709395,0.97932273,0.98142576,0.01595329,0.6805803,0.44896868,0.6933139,0.971637,0.3876495,0.99882716,0.38420546,0.6406261,0.9376101,0.64643025,1.6645476e-05,0.62325794,0.33758643,0.7447842,0.14907135
23.0,5,1.87,50,23.0,16.82709176,0.16806376,0.24734639,1.5898665e-08,0.011564214,0.45546246,0.99209976,0.021969417,0.51275516,0.08680583,0.32421923,0.751427,0.07215182,0.18212192,0.066306554,0.0245773,0.13933565,0.4220942,0.0005632649,0.42809486,0.30490178,0.34774053,0.27760324
23.5,0,0.07,50,23.5,21.97591213,0.362452,0.4732506,0.10595869,0.4597081,0.45346916,0.4487312,0.4806037,0.39274812,0.34173346,0.35698804,0.6223626,0.34995857,0.5567358,0.35350254,0.33967367,0.33223498,0.38846436,0.5888418,0.42751244,0.5036741,0.6324534,0.46507695
23.5,1,0.29,50,23.5,21.29224299,0.39277723,0.4824746,0.14978938,0.80048275,0.5117154,0.76951456,0.1967823,0.6343817,0.41249552,0.4738598,0.953701,0.40951952,0.9564121,0.45637298,0.31251875,0.29644993,0.39197358,0.0867484,0.6873252,0.5410312,0.89789313,0.25643268
23.5,2,0.58,50,23.5,19.81868426,0.47387853,0.7892793,0.14906543,0.4291732,0.8104606,0.96192026,0.17563413,0.61783797,0.43339553,0.49509,0.9724109,0.43611455,0.9992051,0.2898728,0.4765049,0.67169714,0.44390562,9.919447e-05,0.90058833,0.44230065,0.6811182,0.32412353
23.5,3,0.94,50,23.5,18.81368418,0.20872541,0.7588978,0.009767788,0.21724097,0.90788937,0.9538626,0.09060744,0.5114944,0.19471973,0.33056992,0.95751923,0.1716106,0.9991419,0.27222416,0.6206055,0.60378176,0.31096748,2.1209418e-05,0.85181165,0.26331612,0.6888158,0.18436188
23.5,4,1.37,50,23.5,18.05962121,0.36841783,0.799063,0.00080815423,0.2811608,0.9858381,0.9861818,0.005845744,0.60274696,0.37280706,0.606098,0.96059674,0.31355837,0.99823165,0.33597493,0.5131523,0.7664206,0.6145151,1.4878048e-05,0.699686,0.26571438,0.6918199,0.15614547
23.5,5,1.87,50,23.5,17.46464671,0.08350524,0.1831717,1.0288428e-10,0.005409909,0.37541854,0.99847084,0.16586743,0.52774227,0.05085437,0.21557249,0.7459841,0.0329444,0.17183371,0.0680256,0.017237626,0.007963029,0.5810108,0.0013180504,0.42112085,0.3262018,0.32857966,0.29980838
24.0,0,0.07,50,24.0,22.4844195,0.32661322,0.44885004,0.051942393,0.56025237,0.3814944,0.45344552,0.52522177,0.34557614,0.32319722,0.3497279,0.6579445,0.31463817,0.47888795,0.3227308,0.31961623,0.3314022,0.37839887,0.6361674,0.43267295,0.566247,0.6109424,0.45438567
24.0,1,0.29,50,24.0,21.81924277,0.40082774,0.32568613,0.035349574,0.86928254,0.6452489,0.75077134,0.3833128,0.8739052,0.3719915,0.41408178,0.9305823,0.37079045,0.91095,0.38149452,0.35136357,0.3165667,0.4991889,0.03125188,0.7336301,0.65584856,0.84701604,0.18722631
