Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Predicted_TP_ctg,User_2_Predicted_TP_ctg,User_4_Predicted_TP_ctg,User_5_Predicted_TP_ctg,User_6_Predicted_TP_ctg,User_7_Predicted_TP_ctg,User_9_Predicted_TP_ctg,User_10_Predicted_TP_ctg,User_12_Predicted_TP_ctg,User_13_Predicted_TP_ctg,User_14_Predicted_TP_ctg,User_16_Predicted_TP_ctg,User_17_Predicted_TP_ctg,User_18_Predicted_TP_ctg,User_19_Predicted_TP_ctg,User_20_Predicted_TP_ctg,User_21_Predicted_TP_ctg,User_22_Predicted_TP_ctg,User_23_Predicted_TP_ctg,User_24_Predicted_TP_ctg,User_25_Predicted_TP_ctg,User_26_Predicted_TP_ctg
22,0,0.07,50,22,20.4107032,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
22,1,0.29,50,22,19.689093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.58,50,22,18.11130066,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,3,0.94,50,22,17.01714963,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,1.37,50,22,16.18569635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,1.87,50,22,15.52256301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22.5,0,0.07,50,22.5,20.934819,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
22.5,1,0.29,50,22.5,20.22671468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,2,0.58,50,22.5,18.68567427,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
22.5,3,0.94,50,22.5,17.62296289,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
22.5,4,1.37,50,22.5,16.81878355,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,5,1.87,50,22.5,16.1795392,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,0,0.07,50,23,21.45670594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
23,1,0.29,50,23,20.76121947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0.58,50,23,19.2549547,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23,3,0.94,50,23,18.22183405,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
23,4,1.37,50,23,17.44352089,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,5,1.87,50,23,16.82709176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23.5,0,0.07,50,23.5,21.97591213,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
23.5,1,0.29,50,23.5,21.29224299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,2,0.58,50,23.5,19.81868426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23.5,3,0.94,50,23.5,18.81368418,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23.5,4,1.37,50,23.5,18.05962121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23.5,5,1.87,50,23.5,17.46464671,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0.07,50,24,22.4844195,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
24,1,0.29,50,24,21.81924277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0.58,50,24,20.37657244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
24,3,0.94,50,24,19.39805314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,4,1.37,50,24,18.66690566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,5,1.87,50,24,18.09189818,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24.5,0,0.07,50,24.5,22.9939457,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
24.5,1,0.29,50,24.5,22.33087837,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
24.5,2,0.58,50,24.5,20.92809918,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
24.5,3,0.94,50,24.5,19.97450335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24.5,4,1.37,50,24.5,19.26493094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,5,1.87,50,24.5,18.70872402,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,0.07,50,25,23.50502761,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1
25,1,0.29,50,25,22.82771733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,0.58,50,25,21.472584,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
25,3,0.94,50,25,20.54250534,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
25,4,1.37,50,25,19.85306467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
