Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance_N6,User_2_Acceptance_N6,User_4_Acceptance_N6,User_5_Acceptance_N6,User_6_Acceptance_N6,User_7_Acceptance_N6,User_9_Acceptance_N6,User_10_Acceptance_N6,User_12_Acceptance_N6,User_13_Acceptance_N6,User_14_Acceptance_N6,User_16_Acceptance_N6,User_17_Acceptance_N6,User_18_Acceptance_N6,User_19_Acceptance_N6,User_20_Acceptance_N6,User_21_Acceptance_N6,User_22_Acceptance_N6,User_23_Acceptance_N6,User_24_Acceptance_N6,User_25_Acceptance_N6,User_26_Acceptance_N6
22.0,0,0.07,50,22.0,20.4107032,0.09551219,0.0996897,0.05073441,0.08829632,0.091797635,0.079976365,0.06577544,0.07280476,0.102631435,0.09865098,0.07758353,0.08976031,0.05640351,0.10843369,0.0936908,0.09911174,0.081217594,0.09744901,0.085930035,0.08238857,0.063463196,0.09744901
22.0,1,0.29,50,22.0,19.689093,0.6026973,0.35919696,0.2715889,0.30022904,0.4027855,0.47022307,0.30113545,0.3553275,0.21658605,0.37664467,0.24189772,0.8645866,0.4458552,0.16916274,0.4668148,0.33916807,0.2752277,0.23292641,0.21988362,0.44366655,0.34493542,0.23292641
22.0,2,0.58,50,22.0,18.11130066,0.04894511,0.059156563,0.0010101614,0.02785106,0.05868022,0.028013304,0.109454446,0.048263554,0.052755527,0.055978384,0.024890663,0.24920082,0.009276915,0.11518885,0.011264283,0.054686915,0.037139736,0.042141818,0.09797181,0.051204983,0.016188422,0.042141818
22.0,3,0.94,50,22.0,17.01714963,0.18507344,0.22932248,0.00091113325,0.09885331,0.22203378,0.15626147,0.060154334,0.08537271,0.106931455,0.23995896,0.08936641,0.5757342,0.011697618,0.03445499,0.010917043,0.255094,0.06696992,0.096712925,0.09540852,0.111204915,0.03877002,0.096712925
22.0,4,1.37,50,22.0,16.18569635,0.15268736,0.22491422,0.006555219,0.14373235,0.22695264,0.16079585,0.068776585,0.09996231,0.11379792,0.21126984,0.11405025,0.2500159,0.06336306,0.03785864,0.07010803,0.21371253,0.065310456,0.13589984,0.109623626,0.1784684,0.09603084,0.13589984
22.0,5,1.87,50,22.0,15.52256301,0.11604646,0.16231331,0.009269328,0.14641257,0.16253869,0.14458355,0.034395404,0.10030632,0.11480276,0.15192533,0.12048754,0.27441278,0.08932081,0.019775337,0.10456303,0.15123968,0.07034283,0.13462676,0.064799525,0.14939976,0.10151969,0.13462676
22.5,0,0.07,50,22.5,20.934819,0.09729634,0.093262725,0.05235556,0.14830267,0.08022373,0.07440644,0.08208642,0.07024149,0.19775926,0.09293416,0.07910494,0.12866239,0.05231741,0.29117587,0.093813404,0.094903246,0.14027496,0.1957897,0.12209255,0.07393852,0.06288946,0.1957897
22.5,1,0.29,50,22.5,20.22671468,0.8879543,0.55816376,0.5958748,0.7680068,0.611948,0.7352421,0.5159669,0.6090101,0.6329673,0.5910649,0.5231715,0.9840794,0.6569467,0.56076497,0.7752263,0.5674104,0.90411407,0.77494746,0.49560404,0.6571326,0.6506204,0.77494746
22.5,2,0.58,50,22.5,18.68567427,0.12935852,0.08103537,0.0011494074,0.05108315,0.07262247,0.07155091,0.050773844,0.029323192,0.0300982,0.083321884,0.018222576,0.6451607,0.0041009653,0.058492042,0.0048153796,0.08727029,0.02964889,0.030071648,0.04397308,0.047661915,0.011749196,0.030071648
22.5,3,0.94,50,22.5,17.62296289,0.30441073,0.18824595,0.00052697107,0.11121485,0.17888688,0.19634223,0.05394523,0.051815253,0.06766337,0.21517336,0.05645851,0.86308736,0.008926422,0.038604833,0.008584105,0.24613686,0.036258806,0.077255264,0.0980924,0.16373567,0.028921232,0.077255264
22.5,4,1.37,50,22.5,16.81878355,0.15553321,0.15653804,0.00476908,0.120542265,0.1543673,0.12289041,0.055213984,0.08744535,0.102978125,0.1489698,0.10409524,0.2952772,0.049564417,0.028907886,0.055554707,0.15093292,0.05601372,0.11759336,0.090431094,0.13748911,0.08353379,0.11759336
22.5,5,1.87,50,22.5,16.1795392,0.09422671,0.13131191,0.008050156,0.12961394,0.13116215,0.12126407,0.03136501,0.0929326,0.10692521,0.12549008,0.11367221,0.3275434,0.08190655,0.016847907,0.09605376,0.12589785,0.065069206,0.12216984,0.059457395,0.1306442,0.092544354,0.12216984
23.0,0,0.07,50,23.0,21.45670594,0.14577396,0.15117666,0.056869015,0.3274734,0.13523696,0.11778958,0.23699836,0.1296571,0.37690842,0.12448338,0.24156588,0.17060868,0.06285783,0.48353902,0.13329765,0.18712355,0.25997528,0.36126882,0.28814733,0.10041415,0.15599436,0.36126882
23.0,1,0.29,50,23.0,20.76121947,0.99030495,0.980538,0.6937035,0.99378264,0.9734601,0.9870465,0.87885743,0.97252584,0.9880315,0.9832283,0.97486097,0.99208957,0.80340016,0.9772221,0.92869246,0.9820588,0.9969545,0.99381554,0.9342125,0.9760835,0.9873198,0.99381554
