Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
22.0,0,0.07,50,22.0,20.4107032,0.28463176,0.6903644,0.10717007,0.3493432,0.9267568,0.984686,0.3866105,0.8383907,0.36754814,0.58941877,0.64608777,0.35831407,0.6457047,0.0019447781,0.9722769,0.4580031,0.99581367,0.62276286
22.0,1,0.29,50,22.0,19.689093,0.99996644,0.94978946,0.0017816689,0.9020892,0.9999947,0.99597806,0.9995075,0.98543835,0.05067575,0.4278605,0.993269,0.99993175,0.61154515,0.04161498,0.99954563,0.55542004,0.30530718,0.11949261
22.0,2,0.58,50,22.0,18.11130066,0.0007793728,0.004748944,4.3524757e-05,0.00859654,0.9973313,0.00076339487,0.9944073,0.006894647,0.0023879327,0.058477677,0.805085,0.048459057,0.9789385,8.200694e-05,0.92422885,0.005224059,0.9967362,0.037745044
22.0,3,0.94,50,22.0,17.01714963,0.00023178542,0.0044353823,2.891491e-05,0.13416879,0.99022776,0.025091179,0.007211822,0.0063761105,0.00023627117,0.061871864,0.05213913,0.043326598,0.9949677,9.914526e-06,0.9790399,0.16751035,0.9923895,0.00059034396
22.0,4,1.37,50,22.0,16.18569635,0.00233929,0.013139608,0.00014396168,0.1790055,0.22282684,0.02333553,0.0010929541,0.015388459,0.007059553,0.14289276,0.036214206,0.25478747,0.99436224,1.7942079e-05,0.49243227,0.14930427,0.1910919,0.009036449
22.0,5,1.87,50,22.0,15.52256301,0.010997829,0.046335794,0.00029309076,0.18091296,0.24408005,0.026124272,0.0015920686,0.04588364,0.092010625,0.25872394,0.0411717,0.16427879,0.99315214,3.27379e-05,0.4752227,0.022265546,0.020631617,0.046852134
22.5,0,0.07,50,22.5,20.934819,0.7366405,0.9292184,0.19879016,0.26097932,0.8200326,0.97646374,0.8709742,0.85017747,0.6856698,0.46514803,0.64608777,0.5164042,0.6284447,0.0014102617,0.97185826,0.39659935,0.99528754,0.5999113
22.5,1,0.29,50,22.5,20.22671468,0.99999505,0.9873144,0.00031830318,0.92991686,0.99999887,0.99860585,0.99998194,0.99071586,0.091525644,0.85482067,0.99409705,0.99998873,0.6978047,0.002687933,0.9998443,0.5056114,0.50238854,0.2338377
22.5,2,0.58,50,22.5,18.68567427,0.008304551,0.005675952,1.9937193e-05,0.028153166,0.9976536,0.00096934463,0.99848783,0.0019594734,0.0023223802,0.17437917,0.82090104,0.38352704,0.9770237,6.25959e-05,0.9976381,0.0035743641,0.9990131,0.0072876206
22.5,3,0.94,50,22.5,17.62296289,0.00054156187,0.010119572,1.904791e-05,0.23865882,0.9936891,0.04747362,0.012659883,0.065205336,0.00019594785,0.10014822,0.05329494,0.06836354,0.9943959,1.0959057e-05,0.99815273,0.28343585,0.9977052,0.0003098495
