Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N12,User_3_Acceptance_N12,User_5_Acceptance_N12,User_6_Acceptance_N12,User_7_Acceptance_N12,User_9_Acceptance_N12,User_12_Acceptance_N12,User_13_Acceptance_N12,User_14_Acceptance_N12,User_16_Acceptance_N12,User_17_Acceptance_N12,User_18_Acceptance_N12,User_19_Acceptance_N12,User_20_Acceptance_N12,User_23_Acceptance_N12,User_24_Acceptance_N12,User_25_Acceptance_N12,User_26_Acceptance_N12
22.0,0,0.07,50,22.0,20.4107032,0.11847965,0.28029162,0.25259757,0.2830469,0.47005025,0.11157253,0.17435944,0.22076349,0.257568,0.11802187,0.32778692,0.09201605,0.08399753,0.06921915,0.11521411,0.038931873,0.46124178,0.25413534
22.0,1,0.29,50,22.0,19.689093,0.51665115,0.08523257,0.09392497,0.026082007,0.99823886,0.56210244,0.12120752,0.07996434,0.096049,0.38559613,0.19978225,0.6464381,0.4042563,0.37600517,0.8080423,0.3660528,0.1700557,0.15340713
22.0,2,0.58,50,22.0,18.11130066,0.13243876,0.123578705,0.14494766,0.26560783,0.99736965,0.11895242,0.11184315,0.14684948,0.101112664,0.08537403,0.3054927,0.36485162,0.34639055,0.08649495,0.81388587,0.03416202,0.26233155,0.15332775
22.0,3,0.94,50,22.0,17.01714963,0.6051108,0.25101805,0.26861742,0.23731592,0.9977748,0.91131747,0.20393147,0.19444667,0.21632706,0.1907608,0.2552289,0.9443672,0.991073,0.19123912,0.97130245,0.015627658,0.6809473,0.42338628
22.0,4,1.37,50,22.0,16.18569635,0.4953641,0.21891195,0.26151744,0.5726538,0.9982503,0.6011757,0.39746132,0.23740087,0.19026162,0.44781378,0.36069182,0.74619806,0.9895451,0.270549,0.9588337,0.00025309098,0.4547573,0.37250888
22.0,5,1.87,50,22.0,15.52256301,0.19320212,0.1665504,0.1799789,0.5110134,0.99831635,0.5803735,0.19157845,0.12201803,0.13174333,0.2295431,0.25768393,0.5321597,0.98833036,0.0017508332,0.9419267,4.4318116e-05,0.29848868,0.21004723
22.5,0,0.07,50,22.5,20.934819,0.25422922,0.26040083,0.18997788,0.43857285,0.5256979,0.24426307,0.26078746,0.2979232,0.23285034,0.14470786,0.28207198,0.16302738,0.1135255,0.117245145,0.19340092,0.033008635,0.46225607,0.45387694
22.5,1,0.29,50,22.5,20.22671468,0.91379696,0.12606882,0.1230271,0.050948493,0.994853,0.9567203,0.26004156,0.1831795,0.14517505,0.5436207,0.18652225,0.84550476,0.979185,0.4139088,0.9927966,0.53037757,0.9600216,0.8949857
22.5,2,0.58,50,22.5,18.68567427,0.65424716,0.09830782,0.081547335,0.21919452,0.9973068,0.39944628,0.15358432,0.1626807,0.0913232,0.11790781,0.1778089,0.9179946,0.109915055,0.048209693,0.8986433,0.019029062,0.5556747,0.37641016
22.5,3,0.94,50,22.5,17.62296289,0.8951638,0.17992407,0.1909951,0.22514793,0.9978753,0.9414744,0.32966116,0.18517815,0.18288359,0.5173088,0.26283318,0.9692291,0.99113613,0.41902915,0.97349644,0.014695105,0.88028866,0.770537
22.5,4,1.37,50,22.5,16.81878355,0.5689672,0.18527398,0.17959736,0.54637975,0.99836266,0.74428374,0.4640827,0.27934387,0.1752718,0.5060891,0.30585778,0.8176419,0.99005306,0.44761607,0.96191627,0.0005816297,0.5041457,0.40891647
22.5,5,1.87,50,22.5,16.1795392,0.22648506,0.12614031,0.14357711,0.49967927,0.9983342,0.6435998,0.22764884,0.122454666,0.09548378,0.25743842,0.21425207,0.626912,0.98846716,0.0017875095,0.942724,4.2081872e-05,0.34074542,0.25196126
23.0,0,0.07,50,23.0,21.45670594,0.3393392,0.5000878,0.4330478,0.5012774,0.56580764,0.27965507,0.45744473,0.49768206,0.47636554,0.30114588,0.45185763,0.2736066,0.2022686,0.16766942,0.25315952,0.053114265,0.39992088,0.55796057
23.0,1,0.29,50,23.0,20.76121947,0.9964273,0.65957934,0.49312124,0.116906285,0.955527,0.99556375,0.87810326,0.87921035,0.7038208,0.9757203,0.35762095,0.99278605,0.9964925,0.40033755,0.99807155,0.9784707,0.9978019,0.9969954
23.0,2,0.58,50,23.0,19.2549547,0.90269935,0.18894109,0.13902624,0.15754555,0.99741954,0.7976985,0.29858044,0.25943884,0.19428387,0.2990933,0.13303958,0.95612645,0.034213625,0.061423182,0.86346585,0.035684742,0.7649404,0.7300821
23.0,3,0.94,50,23.0,18.22183405,0.947084,0.2210191,0.17802095,0.22019945,0.998038,0.95224804,0.68188953,0.25604317,0.26255247,0.81978226,0.22754633,0.9782744,0.99102587,0.5584215,0.9732475,0.037258938,0.93205917,0.90687275
23.0,4,1.37,50,23.0,17.44352089,0.6266888,0.1894638,0.14929207,0.51152617,0.9984674,0.82500684,0.49306324,0.3343025,0.20359866,0.5581783,0.24535127,0.8495624,0.99041176,0.5594015,0.9640111,0.0016755267,0.55354166,0.43911815
23.0,5,1.87,50,23.0,16.82709176,0.2634748,0.092582144,0.11375052,0.4855326,0.99833995,0.69568676,0.2688735,0.14015532,0.07605795,0.2901989,0.17557783,0.70202684,0.9885527,0.0018811615,0.94281006,4.6340658e-05,0.3809492,0.29303533
23.5,0,0.07,50,23.5,21.97591213,0.32480246,0.6540023,0.5635245,0.4500879,0.50140834,0.26093784,0.49585629,0.5398599,0.60306054,0.28794006,0.66383404,0.2531501,0.2919584,0.17470561,0.2659957,0.081334844,0.29194027,0.5809834
23.5,1,0.29,50,23.5,21.29224299,0.99571073,0.9843079,0.97189933,0.468036,0.78189206,0.9965043,0.9926698,0.9922703,0.9886581,0.9966133,0.90002143,0.99056065,0.99414223,0.7365231,0.9959699,0.9961918,0.99491125,0.99813
23.5,2,0.58,50,23.5,19.81868426,0.93183994,0.46434042,0.34562427,0.1077546,0.9976707,0.87178826,0.6390213,0.46314043,0.5243662,0.7522075,0.22186416,0.96656466,0.0108605055,0.14217526,0.7565494,0.15639353,0.83078593,0.84121823
23.5,3,0.94,50,23.5,18.81368418,0.9656543,0.47548023,0.29118383,0.21657182,0.99824494,0.9564808,0.830548,0.5537319,0.6244668,0.89751863,0.15928221,0.98160386,0.99080896,0.5997936,0.97124493,0.10991903,0.9508766,0.93930393
23.5,4,1.37,50,23.5,18.05962121,0.67279077,0.23379572,0.14155234,0.46279842,0.99855703,0.8780844,0.5045958,0.3753247,0.26147944,0.5946266,0.18378107,0.87057316,0.9905989,0.5909335,0.9654239,0.0043150648,0.58562726,0.4886075
23.5,5,1.87,50,23.5,17.46464671,0.302123,0.07724171,0.086249605,0.46627817,0.99833363,0.7352714,0.31048304,0.1660873,0.069642805,0.326111,0.14399508,0.7570885,0.98855233,0.0020246683,0.942099,5.607449e-05,0.43350288,0.33094853
24.0,0,0.07,50,24.0,22.4844195,0.3626923,0.6925427,0.6241618,0.21125212,0.34333348,0.32693076,0.5335773,0.53038335,0.6485776,0.26218653,0.69673115,0.24979347,0.16952556,0.15188715,0.30439767,0.08339077,0.14391288,0.5544276
24.0,1,0.29,50,24.0,21.81924277,0.98555404,0.99550635,0.9950499,0.530184,0.9099216,0.9844351,0.9962296,0.99594814,0.9960422,0.9952073,0.9840055,0.95529103,0.6071554,0.9144808,0.9548876,0.99506694,0.5128702,0.98659027
24.0,2,0.58,50,24.0,20.37657244,0.945524,0.74472594,0.7345624,0.13304128,0.9980086,0.8871957,0.79572123,0.6280932,0.7853134,0.8452148,0.40962833,0.9659371,0.004047785,0.30918816,0.65652984,0.13269661,0.89657307,0.8991151
