Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N18,User_3_Acceptance_N18,User_5_Acceptance_N18,User_6_Acceptance_N18,User_7_Acceptance_N18,User_9_Acceptance_N18,User_12_Acceptance_N18,User_13_Acceptance_N18,User_14_Acceptance_N18,User_16_Acceptance_N18,User_17_Acceptance_N18,User_18_Acceptance_N18,User_19_Acceptance_N18,User_20_Acceptance_N18,User_23_Acceptance_N18,User_24_Acceptance_N18,User_25_Acceptance_N18,User_26_Acceptance_N18
22.0,0,0.07,50,22.0,20.4107032,0.99911845,0.9994975,0.48082346,0.00013889774,0.9929848,0.999885,0.9998355,0.9992484,0.9840596,0.5931226,0.9999009,0.975073,0.9974065,0.019885475,0.99449027,0.0020694663,0.99979067,0.07458652
22.0,1,0.29,50,22.0,19.689093,0.12405516,0.96658593,0.56963617,0.010743694,0.42039576,0.9994753,0.99910283,0.99924326,0.3391295,0.9589149,0.044887442,0.97158,0.9872855,0.0047860257,0.99910665,0.023084331,0.9990272,0.07714258
22.0,2,0.58,50,22.0,18.11130066,0.005903598,0.00547784,0.07455185,0.22924721,0.5637229,0.9902511,0.014435615,0.43685552,0.04695264,0.37289423,0.0016922703,0.9995579,0.78942,0.00017438382,0.9997095,0.0026265748,0.9451136,0.10717107
22.0,3,0.94,50,22.0,17.01714963,0.015516448,0.0035787262,0.0009359827,0.10308449,0.9940107,0.41239256,0.0017499594,0.2909031,0.028872367,0.09417339,0.0018080507,0.9969431,0.6308315,2.6560712e-05,0.9996654,0.9909295,0.50768495,0.010938005
22.0,4,1.37,50,22.0,16.18569635,0.10325772,0.008500269,0.00014449377,0.113008544,0.46077347,0.015870225,0.00037138138,0.0018630772,0.03367285,0.05279259,0.002182195,0.10585761,0.6802196,1.9726112e-05,0.9852188,0.27289304,0.3724285,0.00010232708
22.0,5,1.87,50,22.0,15.52256301,0.13020523,0.025196759,0.00021388062,0.008330997,0.58730835,0.007473648,0.0011755981,0.0026870412,0.11047749,0.115528464,0.016234195,0.062667735,0.6644854,2.2290482e-05,0.49190655,0.035885125,0.33456725,3.424575e-05
22.5,0,0.07,50,22.5,20.934819,0.99828696,0.99955446,0.7146828,0.00010926772,0.99652636,0.99987674,0.99988836,0.999487,0.97432315,0.9052146,0.9999971,0.9846055,0.9835426,0.019624421,0.9972162,0.00087313424,0.9997364,0.09039016
22.5,1,0.29,50,22.5,20.22671468,0.68018174,0.9920175,0.57776463,0.00817745,0.8591141,0.99973154,0.9999065,0.9994503,0.7853459,0.96792245,0.8724876,0.9983722,0.99537617,0.003181868,0.99846333,0.017437689,0.9995726,0.08505956
22.5,2,0.58,50,22.5,18.68567427,0.014473974,0.0088691665,0.1409443,0.35181612,0.5729921,0.996002,0.28395596,0.43685552,0.0996841,0.44070804,0.0026594615,0.9996494,0.95458394,0.00023773909,0.99966574,0.0018136728,0.9640711,0.109205246
22.5,3,0.94,50,22.5,17.62296289,0.019479614,0.0043624006,0.0015184431,0.15646315,0.9946406,0.73688114,0.0028244494,0.43685552,0.03524272,0.11192022,0.0023262317,0.9967822,0.8244811,2.7523114e-05,0.9996499,0.99137986,0.60226643,0.020328207
22.5,4,1.37,50,22.5,16.81878355,0.10810849,0.012896529,0.00016963061,0.1356717,0.4594106,0.026196726,0.0004610342,0.0018767132,0.040860023,0.061928287,0.0028722943,0.15981288,0.6822932,2.052434e-05,0.9905469,0.54171526,0.39056155,0.000100422854
22.5,5,1.87,50,22.5,16.1795392,0.13589293,0.029632378,0.00022139125,0.010601023,0.58484906,0.0078115934,0.0013525545,0.0025944915,0.13151789,0.14395952,0.01996434,0.07103983,0.66524744,2.2657654e-05,0.49230394,0.03563624,0.3437949,3.0713145e-05
23.0,0,0.07,50,23.0,21.45670594,0.9962411,0.9996261,0.8106951,0.000112998154,0.99886596,0.9998636,0.99988025,0.9996156,0.9297187,0.9568163,0.99999994,0.99115646,0.31067017,0.017024847,0.99857867,0.0006576621,0.99943125,0.123545386
23.0,1,0.29,50,23.0,20.76121947,0.99833995,0.99772745,0.5853587,0.0017401535,0.99178255,0.99978185,0.9999762,0.99948734,0.90438086,0.9718235,0.9999692,0.9993728,0.99691695,0.0060849926,0.99809,0.0077246204,0.9997455,0.09798206
23.0,2,0.58,50,23.0,19.2549547,0.044700567,0.024215791,0.22206005,0.7801649,0.58778507,0.99757504,0.98892057,0.6030261,0.3153101,0.47983938,0.030533697,0.9996929,0.9890933,0.00030350275,0.9996037,0.0013542372,0.9735061,0.11842447
23.0,3,0.94,50,23.0,18.22183405,0.02870218,0.0056159156,0.0025531892,0.32722905,0.9951158,0.7619007,0.03510078,0.43689483,0.0455781,0.12964998,0.01266473,0.99742573,0.9380668,3.002302e-05,0.99963546,0.99167573,0.6912876,0.041559394
23.0,4,1.37,50,23.0,17.44352089,0.11555936,0.023470428,0.0002023595,0.20344602,0.46722755,0.062436014,0.0006167673,0.0021354244,0.05278058,0.076283164,0.0052543133,0.24048534,0.6848966,2.1616934e-05,0.992608,0.73343307,0.4152618,9.864215e-05
23.0,5,1.87,50,23.0,16.82709176,0.14395243,0.03969547,0.00023681969,0.013331218,0.58231586,0.00849609,0.0016809193,0.0025524697,0.15948075,0.18603694,0.028663553,0.08798884,0.6660118,2.3157601e-05,0.49275318,0.03545817,0.35508454,2.8175977e-05
23.5,0,0.07,50,23.5,21.97591213,0.99384993,0.999684,0.8097544,0.0001358019,0.9994019,0.99984384,0.9998424,0.999589,0.9145027,0.9737748,0.99999994,0.9912585,0.18830557,0.010879058,0.9988936,0.00062532286,0.9976435,0.30369228
23.5,1,0.29,50,23.5,21.29224299,0.99994904,0.998921,0.6202968,0.0007353132,0.99822056,0.9997498,0.99998564,0.99940145,0.98668176,0.97239894,0.9999992,0.99960846,0.98620784,0.02084771,0.9980642,0.0037684576,0.99981,0.13081701
23.5,2,0.58,50,23.5,19.81868426,0.26962802,0.14497377,0.32630363,0.87067646,0.6067802,0.9981137,0.99863666,0.87410426,0.9352235,0.50841516,0.18099733,0.99972,0.97559863,0.0004118899,0.9995876,0.0010156294,0.9789925,0.16146778
23.5,3,0.94,50,23.5,18.81368418,0.06279461,0.009821839,0.004790575,0.48661762,0.99547654,0.77721125,0.4703662,0.43685552,0.07230754,0.2058457,0.6825158,0.99763846,0.94688445,3.3951204e-05,0.9995926,0.9918178,0.78173107,0.07651509
