Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Predicted_Acceptance_N28,User_3_Predicted_Acceptance_N28,User_5_Predicted_Acceptance_N28,User_6_Predicted_Acceptance_N28,User_7_Predicted_Acceptance_N28,User_9_Predicted_Acceptance_N28,User_12_Predicted_Acceptance_N28,User_13_Predicted_Acceptance_N28,User_14_Predicted_Acceptance_N28,User_16_Predicted_Acceptance_N28,User_17_Predicted_Acceptance_N28,User_18_Predicted_Acceptance_N28,User_19_Predicted_Acceptance_N28,User_20_Predicted_Acceptance_N28,User_23_Predicted_Acceptance_N28,User_24_Predicted_Acceptance_N28,User_25_Predicted_Acceptance_N28,User_26_Predicted_Acceptance_N28
22.0,0,0.07,50,22.0,20.4107032,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0
22.0,1,0.29,50,22.0,19.689093,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0
22.0,2,0.58,50,22.0,18.11130066,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
22.0,3,0.94,50,22.0,17.01714963,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
22.0,4,1.37,50,22.0,16.18569635,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
22.0,5,1.87,50,22.0,15.52256301,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
22.5,0,0.07,50,22.5,20.934819,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0
22.5,1,0.29,50,22.5,20.22671468,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0
22.5,2,0.58,50,22.5,18.68567427,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
22.5,3,0.94,50,22.5,17.62296289,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
22.5,4,1.37,50,22.5,16.81878355,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
22.5,5,1.87,50,22.5,16.1795392,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
23.0,0,0.07,50,23.0,21.45670594,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1
23.0,1,0.29,50,23.0,20.76121947,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
23.0,2,0.58,50,23.0,19.2549547,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
23.0,3,0.94,50,23.0,18.22183405,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0
23.0,4,1.37,50,23.0,17.44352089,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
23.0,5,1.87,50,23.0,16.82709176,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
23.5,0,0.07,50,23.5,21.97591213,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
23.5,1,0.29,50,23.5,21.29224299,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
23.5,2,0.58,50,23.5,19.81868426,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0
23.5,3,0.94,50,23.5,18.81368418,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0
23.5,4,1.37,50,23.5,18.05962121,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0
23.5,5,1.87,50,23.5,17.46464671,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0
24.0,0,0.07,50,24.0,22.4844195,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
24.0,1,0.29,50,24.0,21.81924277,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
24.0,2,0.58,50,24.0,20.37657244,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0
24.0,3,0.94,50,24.0,19.39805314,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
24.0,4,1.37,50,24.0,18.66690566,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0
