Tair,FanMode,Velocity,Humidity,Globe Temperature,SET*,2,3,5,6,7,9,12,13,14,16,17,18,19,20,23,24,25,26
22,0,0.07,50,22,20.4107032,0.787003879,0.619855005,0.116878999,0.529759066,0.803033115,0.736005932,0.562597913,0.709454114,0.507639456,0.630862423,0.660778552,0.83390657,0.758553467,0.39139919,0.831107555,0.483954228,0.81054121,0.47650755
22,1,0.29,50,22,19.689093,0.509516914,0.464640391,0.044938974,0.569364581,0.729077185,0.617615025,0.496369667,0.581663034,0.347658258,0.479164556,0.568288592,0.757284152,0.746222802,0.37008923,0.774291823,0.472475459,0.745978327,0.35325731
22,2,0.58,50,22,18.11130066,0.060149828,0.179129485,0.004814628,0.438325442,0.519892245,0.242131572,0.354231467,0.240394824,0.108949803,0.16114599,0.331066809,0.411776116,0.674668272,0.321483014,0.563114017,0.426181994,0.552316487,0.150962012
22,3,0.94,50,22,17.01714963,0.009175267,0.077286218,0.00099662,0.217568673,0.36542411,0.08888535,0.267512498,0.098604748,0.04200647,0.059279986,0.197972226,0.182713509,0.614449244,0.288504732,0.382396793,0.384938958,0.401404433,0.07542452
22,4,1.37,50,22,16.18569635,0.002126732,0.038886133,0.00030043,0.101103146,0.262736021,0.037974108,0.211414092,0.046434759,0.019711459,0.026264642,0.126894133,0.085059724,0.565910563,0.26454775,0.260266256,0.351921447,0.296575738,0.043176499
22,5,1.87,50,22,15.52256301,0.000659964,0.022143887,0.000115405,0.05080872,0.195518295,0.018813906,0.173218818,0.024894246,0.010681548,0.013521564,0.086962706,0.044066466,0.52620394,0.246288317,0.182838444,0.325575168,0.225501357,0.027369324
22.5,0,0.07,50,22.5,20.934819,0.900700721,0.720144688,0.216952912,0.483366626,0.84622943,0.770573783,0.608710287,0.761457961,0.620414442,0.701654603,0.705713431,0.858537521,0.738913169,0.405754556,0.856733289,0.486769504,0.845816722,0.567839957
22.5,1,0.29,50,22.5,20.22671468,0.728069929,0.581344232,0.092379324,0.543312993,0.785767341,0.713378466,0.545900246,0.682430605,0.466100727,0.596786931,0.639882791,0.819600743,0.758255159,0.386097825,0.819090521,0.481798467,0.795801163,0.444263607
22.5,2,0.58,50,22.5,18.68567427,0.15006366,0.265103586,0.010958768,0.528054037,0.601350394,0.371279531,0.404439416,0.35483522,0.173089533,0.255710187,0.415655814,0.55572789,0.70375982,0.339204813,0.651861468,0.445529547,0.629171354,0.21111844
22.5,3,0.94,50,22.5,17.62296289,0.026296408,0.124594408,0.002385574,0.338411449,0.449612016,0.15852398,0.313880441,0.164669521,0.071817787,0.104644376,0.266301862,0.296760973,0.648432278,0.30659761,0.482235944,0.408292639,0.484551282,0.111571044
