"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,27.5,2,1,2,NA,0,3,2,3,1,2,NA,0,4,2,0,3
11,28,2,NA,2,4,1,4,3,3,1,4,NA,0,4,NA,1,3
12,27.5,2,NA,NA,NA,0,NA,2,NA,1,2,NA,0,4,2,0,3
13,26.5,NA,0,NA,NA,NA,2,NA,3,0,NA,NA,0,NA,1,0,3
14,27.5,2,1,NA,4,NA,3,NA,3,1,2,3,NA,4,2,NA,3
15,28,2,NA,2,4,1,4,NA,NA,1,4,3,NA,NA,3,NA,NA
16,28.5,3,2,2,4,1,4,4,1,1,5,3,0,4,NA,1,4
17,28.5,3,2,2,4,1,4,NA,1,1,NA,NA,NA,4,3,1,NA
18,26.5,NA,0,NA,NA,NA,2,NA,NA,NA,2,NA,NA,3,NA,0,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
