"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,28,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,5,NA,0,NA
10,28,2,NA,2,3,1,3,3,3,1,NA,5,0,5,3,0,3
11,28,2,1,2,3,1,3,3,3,1,3,5,0,5,3,0,NA
12,28,NA,1,2,3,1,3,3,NA,1,3,5,0,5,3,0,3
13,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
14,27.5,NA,NA,2,NA,0,NA,2,2,1,3,4,0,NA,3,0,3
15,28,2,1,2,3,1,NA,3,3,1,3,5,0,NA,3,0,3
16,28,2,NA,2,3,1,3,NA,3,1,3,5,0,5,3,0,3
17,28,2,1,2,3,NA,3,3,3,1,3,NA,0,5,NA,NA,3
18,25,NA,0,NA,NA,NA,NA,1,0,NA,NA,NA,0,2,NA,NA,1
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
