value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
NA,NA,NA,NA,NA,NA,NA,1.229499482,1.652996782,1.875678416,1.978484659,1.924237189,1.418126963,1.901616455,1.881425016,1.868151287,1.9100193,1.238736014,1.139525333,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.154328326,3.007072649,2.890582088,1.284492063,2.864220992,1.138276173,2.795780487,2.759036614,2.706392775,2.673056143,2.745957522,1.060471811,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.093777814,2.954459761,2.965561873,1.064194142,1.023876297,2.803564897,2.635809862,0.966904955,1.264786592,2.8032407,2.710182916,1.017663407,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.176300737,3.023418603,2.895509161,2.73101946,2.710294917,1.095177402,2.731430378,2.673392088,2.65169614,1.051553945,2.686906946,1.08869331,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.241832967,3.116672303,3.001287111,2.909068197,2.827559078,1.229278123,2.899319064,2.87418115,2.846600633,2.845245917,2.804102595,1.179157419,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.173784069,3.021973255,2.962871722,2.871880217,2.827213833,2.821406629,1.30624124,2.908726622,2.862164671,2.837137175,2.823473401,1.197356721,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.318164459,1.285155032,3.046054598,2.954426269,2.749189211,2.598838651,2.611754671,2.659288502,2.610813678,2.775021382,2.415511898,1.076356772,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.070374768,3.061436153,2.841753697,2.803670708,2.750704439,2.737052621,2.700059711,2.692022318,2.692540539,2.781351229,1.11415451,1.117115533,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,212.7689263,,,,,,,,,,,,,,,,
