value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
NA,NA,NA,NA,NA,NA,NA,1.229499482,1.652996782,1.875678416,1.978484659,1.924237189,1.418126963,1.901616455,1.881425016,1.868151287,1.9100193,1.238736014,1.139525333,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.14333617,2.970130428,2.911198195,2.86602844,2.743875201,2.309694002,2.645771813,2.639662218,2.644533389,2.691492196,1.964071291,1.060335303,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.068779324,2.121981244,3.084663103,2.564326165,2.397459763,2.273754142,2.652821753,2.013418365,2.362366035,2.686564008,1.154195323,1.020781313,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.16530899,2.512289105,2.902723139,2.719218534,2.69192827,2.560623825,2.6201875,2.751988106,1.930033088,2.805616979,1.251810672,1.090180883,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.22883686,3.103579365,2.616253245,2.89383483,2.853533596,2.846233781,2.79171929,2.798943378,2.806930136,2.830974377,1.805949106,1.179903539,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.175788209,3.045883667,2.946286993,2.862071733,2.817796672,2.821108919,2.814327811,2.800561891,2.805469792,2.814993109,2.597063428,1.197448332,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.307165138,3.013483976,3.032456318,3.01739166,2.709131342,1.403923365,2.776028825,2.786719368,2.701191137,2.756788019,1.65325601,1.076748045,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.059380511,3.14690718,2.925977215,2.794645119,2.746480238,2.725003839,2.695438086,2.693839544,2.717924618,2.809656223,1.262417445,1.113020992,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,218.3921114,,,,,,,,,,,,,,,,
