"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,24.5,NA,3,1,1,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA
10,28.5,NA,0,1,NA,NA,0,1,1,1,1,NA,1,1,0,1,NA
11,27,0,0,0,2,NA,0,3,2,2,0,NA,NA,0,0,0,0
12,27,0,0,0,2,NA,0,3,2,NA,0,0,0,NA,NA,0,0
13,24,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1
14,26.5,0,0,0,NA,1,0,2,1,2,NA,NA,NA,0,NA,0,NA
15,24.5,NA,3,1,1,2,1,NA,1,1,NA,NA,1,1,NA,NA,1
16,27,0,0,0,2,0,NA,3,2,NA,0,0,0,NA,0,0,0
17,24.5,NA,3,1,1,2,1,1,1,1,1,NA,1,NA,NA,1,1
18,26.5,NA,NA,0,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,0,0
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
