value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
NA,NA,NA,NA,NA,NA,NA,1.229499482,1.652996782,1.875678416,1.978484659,1.924237189,1.418126963,1.901616455,1.881425016,1.868151287,1.9100193,1.238736014,1.139525333,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.143327601,3.000378301,2.915248366,1.224544322,2.866119063,1.138205765,2.783530519,2.749645826,2.70442867,2.696639529,2.476558661,1.060499221,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.083760926,3.001721604,3.018033964,1.072311998,1.023867266,2.859835325,2.74382843,0.967614568,0.991903868,2.878162187,1.66023916,1.019266213,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.165290735,3.067488975,2.901216662,2.759311474,2.743539053,1.095204289,2.758228712,2.758798373,2.676145452,1.07311323,1.437591743,1.09133761,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.228829632,3.139369096,3.016436793,2.917933982,2.845921752,1.229367144,2.914666453,2.889895431,2.862969009,2.860610461,1.570200678,1.181653323,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.175783667,3.043800298,2.954536404,2.874417962,2.829680275,2.823798184,1.262201111,2.92983967,2.87533458,2.838025124,2.818418037,1.197435408,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.307161785,1.274153173,3.080076427,3.013598367,2.758759315,1.39404502,2.804013888,2.820940327,2.685076924,2.785469877,2.109931241,1.076517818,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.059378466,3.153235851,2.922966879,2.822194,2.749542663,2.739762961,2.698419299,2.696689104,2.718930713,2.813098523,1.157126601,1.114438459,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,208.6620867,,,,,,,,,,,,,,,,
