value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
NA,NA,NA,NA,NA,NA,NA,1.229499482,1.652996782,1.875678416,1.978484659,1.924237189,1.418126963,1.901616455,1.881425016,1.868151287,1.9100193,1.238736014,1.139525333,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.11328856,2.78854119,1.174337918,2.255067621,1.212724574,1.142407943,2.415229454,2.51662528,2.448507541,2.261611148,1.332292967,1.06336428,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.068727572,2.772137015,1.157464304,1.678206182,1.192515314,1.714886556,1.607266094,0.970041656,1.574866756,1.63961977,1.549610168,1.020897603,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.133277479,2.524873296,1.378309314,2.154184915,2.134374864,1.043125012,2.125085434,1.778623381,2.382524354,1.795490076,2.146348439,1.090687085,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.208799495,2.161420774,3.272187288,1.368383379,2.633673547,1.202746958,1.368452354,2.521521959,2.38685605,1.457047115,1.876561622,1.181952166,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.155755103,2.563633973,2.57482284,1.184999594,1.345541245,2.097078139,3.010449135,2.505513678,2.115734633,2.511001752,1.404142655,1.202303059,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.275132514,1.513193494,2.578179328,2.572166647,2.309535499,1.694976814,1.0571731,1.944051283,2.240716964,1.988902476,1.412908305,1.080357435,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.037334756,2.458773027,2.14954338,2.445205215,2.32408712,1.175120082,1.33319824,2.072840979,1.14209453,2.070390074,2.262328019,1.112093395,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,170.9365192,,,,,,,,,,,,,,,,
