"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,24,NA,2,0,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA
10,24,NA,2,0,NA,NA,3,1,1,1,2,2,1,1,1,1,NA
11,24,3,2,0,2,NA,3,1,1,1,2,NA,NA,1,1,1,1
12,24,3,2,0,2,NA,3,1,1,NA,2,2,1,NA,NA,1,1
13,23.5,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,1,NA,1
14,24,3,2,0,NA,1,3,1,1,1,NA,NA,NA,1,NA,1,NA
15,24,NA,2,0,2,1,3,NA,1,1,NA,2,1,1,NA,NA,1
16,24,3,2,0,2,1,NA,1,1,NA,2,2,1,NA,1,1,1
17,24,NA,2,0,2,1,3,1,1,1,2,2,1,NA,NA,1,1
18,23.5,NA,NA,0,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,1
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
