"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,26,NA,1,0,3,NA,NA,NA,1,NA,NA,NA,3,0,0,NA,NA
10,26,NA,1,0,NA,NA,1,1,1,1,3,2,3,0,0,1,NA
11,26,3,1,0,3,NA,1,1,1,1,3,NA,NA,0,0,1,1
12,26,3,1,0,3,NA,1,1,1,NA,3,3,3,NA,NA,1,1
13,26,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,0,0,NA,1
14,26,3,1,0,NA,1,1,1,1,1,NA,NA,NA,0,NA,1,NA
15,26,NA,1,0,3,1,1,NA,1,1,NA,3,3,0,NA,NA,1
16,26,3,1,0,3,1,NA,1,1,NA,3,3,3,NA,0,1,1
17,26,NA,1,0,3,1,1,1,1,1,3,3,3,NA,NA,1,1
18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
