"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","25",NA,"1,4,5","4","1",NA,NA,NA,NA,NA,NA,NA,"1,4","1,4","1,3,4,5",NA,NA
"10","25",NA,"1,4,5","4",NA,NA,NA,"1",NA,"1,4","1,4","1","1,4","1,4","1,3,4,5","1,4,5",NA
"11","25",NA,"1,4,5","4","1",NA,NA,"1",NA,"1,4","1,4",NA,NA,"1,4","1,3,4,5","1,4,5","1,4"
"12","25",NA,"1,4,5","4","1",NA,NA,"1",NA,NA,"1,4","1","1,4",NA,NA,"1,4,5","1,4"
"13","25",NA,"1,4,5",NA,NA,"1,4,5",NA,NA,NA,NA,NA,"1",NA,"1,4","1,3,4,5",NA,"1,4"
"14","25",NA,"1,4,5","4",NA,"1,4,5",NA,"1",NA,"1,4",NA,NA,NA,"1,4",NA,"1,4,5",NA
"15","25",NA,"1,4,5","4","1","1,4,5",NA,NA,NA,"1,4",NA,"1","1,4","1,4",NA,NA,"1,4"
"16","25",NA,"1,4,5","4","1","1,4,5",NA,"1",NA,NA,"1,4","1","1,4",NA,"1,3,4,5","1,4,5","1,4"
"17","25",NA,"1,4,5","4","1","1,4,5",NA,"1",NA,"1,4","1,4","1","1,4",NA,NA,"1,4,5","1,4"
"18","23.5",NA,NA,"1,2,3,4",NA,NA,NA,"1,2,4",NA,NA,"1,2",NA,NA,NA,"1,2,3,4,5","1,2,3,4,5","1,2,3,4"
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
