"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","25.5",NA,"1,4","1,4","1,4",NA,NA,NA,"1,4",NA,NA,NA,"1,4","1,4","1,4",NA,NA
"10","25.5",NA,"1,4","1,4",NA,NA,"1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",NA
"11","25.5","1,4","1,4","1,4","1,4",NA,"1,4","1,4","1,4","1,4","1,4",NA,NA,"1,4","1,4","1,4","1,4"
"12","25.5","1,4","1,4","1,4","1,4",NA,"1,4","1,4","1,4",NA,"1,4","1,4","1,4",NA,NA,"1,4","1,4"
"13","25.5",NA,"1,4",NA,NA,"1,4",NA,NA,NA,NA,NA,"1,4",NA,"1,4","1,4",NA,"1,4"
"14","25.5","1,4","1,4","1,4",NA,"1,4","1,4","1,4","1,4","1,4",NA,NA,NA,"1,4",NA,"1,4",NA
"15","25.5",NA,"1,4","1,4","1,4","1,4","1,4",NA,"1,4","1,4",NA,"1,4","1,4","1,4",NA,NA,"1,4"
"16","25.5","1,4","1,4","1,4","1,4","1,4",NA,"1,4","1,4",NA,"1,4","1,4","1,4",NA,"1,4","1,4","1,4"
"17","25.5",NA,"1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4",NA,NA,"1,4","1,4"
"18","24",NA,NA,"2",NA,NA,NA,"2",NA,NA,"2",NA,NA,NA,"2","2","2"
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
