"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","30",NA,"5","5",NA,"4,5",NA,NA,NA,NA,"5",NA,NA,NA,NA,"4",NA
"11","30","3",NA,"5",NA,"4,5",NA,"4,5",NA,"5","5","4,5","1,4,5","2,3,4,5","2,3,4,5","4","5"
"12","30",NA,"5",NA,NA,"4,5",NA,"4,5",NA,NA,NA,NA,NA,NA,NA,"4",NA
"13","28","2,3,4,5",NA,NA,NA,"1,2,3,4,5",NA,NA,NA,NA,"1,5",NA,NA,NA,"0,5",NA,NA
"14","30","3","5","5",NA,"4,5",NA,"4,5",NA,"5",NA,"4,5","1,4,5","2,3,4,5","2,3,4,5","4","5"
"15","30","3","5","5",NA,"4,5",NA,"4,5",NA,"5","5",NA,"1,4,5","2,3,4,5","2,3,4,5","4","5"
"16","30","3","5","5",NA,"4,5",NA,"4,5",NA,"5","5",NA,"1,4,5","2,3,4,5","2,3,4,5","4","5"
"17","30",NA,"5","5",NA,NA,NA,"4,5",NA,"5",NA,NA,"1,4,5",NA,"2,3,4,5","4",NA
"18","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
