"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","25.5",NA,"1,2,5","0",NA,NA,NA,NA,"0,1,4",NA,NA,NA,"3,4,5","0,1","0,1,3,4,5",NA,NA
"10","26.5",NA,"1,2,3,4,5",NA,NA,NA,"2,3","1,2,3",NA,"3,4,5","4,5",NA,"4,5","0,1,2","1,2,4,5","1,2",NA
"11","26.5","3,4","1,2,3,4,5",NA,"5",NA,"2,3","1,2,3",NA,"3,4,5","4,5",NA,NA,"0,1,2","1,2,4,5","1,2","2,3"
"12","26.5","3,4","1,2,3,4,5",NA,"5",NA,"2,3","1,2,3",NA,NA,"4,5",NA,"4,5",NA,NA,"1,2","2,3"
"13","26",NA,"1,2,3,4,5",NA,NA,"1,2,3,4,5",NA,NA,NA,NA,NA,NA,NA,"0,1","1,2,3,5",NA,"1,2,3"
"14","27","4","1,2,3,4,5",NA,NA,"2,3,4,5","2,3","1,2,3","4","3,4",NA,NA,NA,"1,2,3",NA,NA,NA
"15","27",NA,"1,2,3,4,5",NA,"5","2,3,4,5","2,3",NA,"4","3,4",NA,NA,"4,5","1,2,3",NA,NA,NA
"16","26.5","3,4","1,2,3,4,5",NA,"5","1,2,3,4,5",NA,"1,2,3",NA,NA,"4,5",NA,"4,5",NA,"1,2,4,5","1,2","2,3"
"17","27",NA,"1,2,3,4,5",NA,"5","2,3,4,5","2,3","1,2,3","4","3,4","4,5",NA,"4,5",NA,NA,NA,NA
"18","23.5",NA,NA,"0,1,2",NA,NA,NA,"1,2,3,4,5",NA,NA,"2,3,4",NA,NA,NA,"1,2,3,4","0,1,2,3,4","0,2"
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
