"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","26",NA,"1,2,3,4,5",NA,NA,NA,NA,NA,"1,4",NA,NA,NA,"3,4,5","0,1","0,1,3,4,5",NA,NA
"10","26",NA,"1,2,3,4,5",NA,NA,NA,"1,2,3,4,5","1,2,3,4","1,4","1","3,4,5",NA,"3,4,5","0,1","0,1,3,4,5","1,2,3",NA
"11","26",NA,"1,2,3,4,5",NA,NA,NA,"1,2,3,4,5","1,2,3,4","1,4","1","3,4,5",NA,NA,"0,1","0,1,3,4,5","1,2,3","1,2,3,4,5"
"12","26",NA,"1,2,3,4,5",NA,NA,NA,"1,2,3,4,5","1,2,3,4","1,4",NA,"3,4,5",NA,"3,4,5",NA,NA,"1,2,3","1,2,3,4,5"
"13","26",NA,"1,2,3,4,5",NA,NA,"1,2,3,4,5",NA,NA,NA,NA,NA,NA,NA,"0,1","0,1,3,4,5",NA,"1,2,3,4,5"
"14","26",NA,"1,2,3,4,5",NA,NA,"1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,4","1",NA,NA,NA,"0,1",NA,"1,2,3",NA
"15","27",NA,"1,2,3,4,5",NA,"5","2,3,4,5","1,2,3,4,5",NA,"4",NA,NA,NA,"4,5","1,2,3",NA,NA,"1,2,3,4,5"
"16","26",NA,"1,2,3,4,5",NA,NA,"1,2,3,4,5",NA,"1,2,3,4","1,4",NA,"3,4,5",NA,"3,4,5",NA,"0,1,3,4,5","1,2,3","1,2,3,4,5"
"17","27",NA,"1,2,3,4,5",NA,"5","2,3,4,5","1,2,3,4,5","1,2,3","4",NA,"4,5",NA,"4,5",NA,NA,"3","1,2,3,4,5"
"18","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
