"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,25.5,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA
10,25.5,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
11,25.5,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0
12,24,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0
13,25.5,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0
14,25.5,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,0,NA
15,25.5,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0
16,24,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0
17,24,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0
18,25.5,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
