"Time","N2","N4","N6","N8","N10","N12","N14","N16","N18","N20"
8,30,30,30,30,30,30,30,30,30,30
9,24,24,24,24,25.5,25.5,25.5,25.5,25.5,25.5
10,24,24,24,24,24,24,24,24,25.5,25.5
11,24,24,24,24,24,24,24,24,25.5,25.5
12,24,24,24,24,24,24,24,24,24,23.5
13,24,24,25.5,24,24,25.5,25.5,25.5,25.5,26
14,24,24,24,24,24,24,24.5,24.5,25.5,25.5
15,24,24,24,24,24,24,24,24,24,24
16,24,24,24,24,24,24,24,24,24,24
17,24,24,24,24,24,24,24,24,24,23.5
18,24,25.5,24,24,24,25.5,25.5,25.5,25.5,26
19,30,30,30,30,30,30,30,30,30,30
