"Time","N2","N4","N6","N8","N10","N12","N14","N16","N18","N20"
8,30,30,30,30,30,30,30,30,30,30
9,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,23,23
10,25.5,25.5,25.5,23.5,25.5,25.5,24,24,23,23.5
11,25.5,25.5,25.5,23.5,25.5,25.5,25.5,25.5,25.5,23.5
12,22,25.5,22.5,22,24,25.5,24,24,25,23.5
13,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,23
14,22,25.5,25.5,23.5,22.5,23,24,24,23,23.5
15,22,25.5,25.5,23.5,22.5,25.5,25.5,25,23,23.5
16,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,23
17,22,25.5,22.5,22,22.5,25.5,24,24,23,23.5
18,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
19,30,30,30,30,30,30,30,30,30,30
