"Rdissatisfied","Rdissatisfied_true_TP","Rdissatisfied_true_TP_AMP","Eall","Npresent","Nsatisfied_ave_all_sim","Nsatisfied_ave_all_eval1","Nsatisfied_ave_all_eval2","ta","Eplant_target","Eahu_target","Ecfan","Eplant","Qcoil","Qmid1","Qmid2","Qmid3","Qmid4","Qmidn","Qmide","Qmids","Qmidw","V23","V24","V25","V26"
0.0930232558139535,0.0930232558139535,0.0930232558139535,19.9090734220691,86,78,78,78,633.224531952084,16.8648270391739,2.69224638289518,0.352,3034.3400560361,13796.1353038748,76.5628753531375,79.4984459411847,79.3069951417517,78.6505580117339,132.252097166428,116.343173115042,137.494260956742,112.074432711526,25,32,26,20
NA,NA,NA,1.71865567846106,0,0,0,0,24.4471131407354,1.49444956113946,0.224206117321594,0,227.755510870713,1050.39859516275,6.89233693429075,6.82990007347705,6.73889409465122,6.4954597281385,8.90361437064943,8.6869450721392,9.04609695941985,8.23963990783093,0,0,0,0
0,0,0,1.06291585775792,4,4,4,4,26.8144195558514,0.890667172280963,0.137248685476955,0.035,187.941193614307,854.566891927427,4.04985550277995,4.29685161295646,4.31405851992235,4.10613208396266,9.10316184972051,7.10226884908887,10.0465258169853,6.94003428147009,3,3,4,0
0,0,0,2.50384206463591,9,9,9,9,24.5824849731912,2.13448970605386,0.336352358582046,0.033,350.748636820636,1534.7945221343,9.34003090674529,8.93122675757287,9.08818623161713,8.84385517284661,14.2160612478186,13.4089716466661,14.2676095095851,12.4837010482128,3,4,2,1
0.2,0.2,0.2,1.03402781696595,5,4,4,4,26.8959108344075,0.872543154859893,0.131484662106055,0.03,190.322356386364,873.88588809575,4.00637720267967,5.10955604687081,5.13923468323232,4.90250073607996,8.86762135978659,6.94040907854957,9.78657618056976,6.83682192264234,3,3,0,3
0.166666666666667,0.166666666666667,0.166666666666667,1.60364874316142,12,10,10,10,26.4678566943277,1.40262016800135,0.168028575160064,0.033,239.671947279079,1158.5839578578,6.78032303764749,7.04855563609777,7.10658750455729,7.14941908588023,10.7693673123946,9.68571519155848,10.6727039887099,9.10741789381971,2,4,1,3
0.222222222222222,0.222222222222222,0.222222222222222,1.13669413230443,9,7,7,7,27.4206382071957,0.951479095004514,0.13921503729992,0.046,198.26761146078,917.068760980419,4.4009798086823,4.40750945231536,4.29650551055334,4.34874265961782,9.89241010408558,7.71803877427667,10.917564154476,7.54173839618406,4,3,2,4
0.2,0.2,0.2,1.85846171313622,10,8,8,8,26.0069169784639,1.65032730543397,0.175134407702253,0.033,283.061768325543,1315.12891794771,7.66756025122693,8.12845747237037,8.10361054532661,8.18584132625837,11.8703747053676,11.1719873620645,11.918088526608,10.472221177991,2,2,4,2
0,0,0,3.09367308188706,12,12,12,12,24.8179731429485,2.47241030612115,0.590262775765911,0.031,419.936498292615,1903.11651341999,11.2047533392781,11.2213776023928,10.9387651294436,11.0717592343609,17.74742458391,16.36032762681,17.5809006905068,16.0302085278489,3,4,2,0
0.125,0.125,0.125,1.16577775812934,8,7,7,7,27.1763716130409,0.976455559916988,0.134322198212352,0.055,207.404731594919,978.392221307088,4.60624266827597,5.54893686648087,5.72228541932308,5.50938344052925,9.78199439496631,8.2757947964745,10.2177213351936,8.39806601741075,3,3,5,4
0,0,0,2.62036181961764,12,12,12,12,24.6816171289758,2.21980032894945,0.377561490668189,0.023,354.291708310026,1505.32842579379,9.43157419825915,9.7810922029819,9.87027743019756,9.95174875596018,12.7068849269623,12.6423903006966,12.7411993236633,12.0020584101046,0,4,2,1
0,0,0,1.05840876734021,5,5,5,5,26.0564838749575,0.88619373004029,0.13921503729992,0.033,184.633275254408,838.660342718444,4.02536073915409,4.03133308446441,3.92980321418901,3.97758197667155,9.04810314513123,7.05931215679545,9.98576135885109,6.89805883341687,2,2,4,2
NA,NA,NA,1.05260598867194,0,0,0,0,25.5919023734269,0.913390951372018,0.13921503729992,0,190.304817826708,866.210266529376,4.15748076411778,4.16364913320401,4.05878685873813,4.10813381142796,9.34507916563567,7.29101225992169,10.3135131121735,7.12446629459353,0,0,0,0
