"datetime","month","direct_normal_radiation","diffuse_horizontal_radiation"
2023-01-01 01:00:00,1,0,0
2023-01-01 02:00:00,1,0,0
2023-01-01 03:00:00,1,0,0
2023-01-01 04:00:00,1,0,0
2023-01-01 05:00:00,1,0,0
2023-01-01 06:00:00,1,0,0
2023-01-01 07:00:00,1,0,0
2023-01-01 08:00:00,1,0,0
2023-01-01 09:00:00,1,0,21
2023-01-01 10:00:00,1,0,38
2023-01-01 11:00:00,1,0,60
2023-01-01 12:00:00,1,0,75
2023-01-01 13:00:00,1,0,96
2023-01-01 14:00:00,1,0,87
2023-01-01 15:00:00,1,0,79
2023-01-01 16:00:00,1,0,50
2023-01-01 17:00:00,1,0,18
2023-01-01 18:00:00,1,0,0
2023-01-01 19:00:00,1,0,0
2023-01-01 20:00:00,1,0,0
2023-01-01 21:00:00,1,0,0
2023-01-01 22:00:00,1,0,0
2023-01-01 23:00:00,1,0,0
2023-01-02,1,0,0
2023-01-02 01:00:00,1,0,0
2023-01-02 02:00:00,1,0,0
2023-01-02 03:00:00,1,0,0
2023-01-02 04:00:00,1,0,0
2023-01-02 05:00:00,1,0,0
2023-01-02 06:00:00,1,0,0
2023-01-02 07:00:00,1,0,0
2023-01-02 08:00:00,1,0,0
2023-01-02 09:00:00,1,9,37
2023-01-02 10:00:00,1,0,45
2023-01-02 11:00:00,1,36,190
2023-01-02 12:00:00,1,13,184
2023-01-02 13:00:00,1,603,130
2023-01-02 14:00:00,1,484,139
2023-01-02 15:00:00,1,106,148
2023-01-02 16:00:00,1,45,61
2023-01-02 17:00:00,1,3,27
2023-01-02 18:00:00,1,0,0
2023-01-02 19:00:00,1,0,0
2023-01-02 20:00:00,1,0,0
2023-01-02 21:00:00,1,0,0
2023-01-02 22:00:00,1,0,0
2023-01-02 23:00:00,1,0,0
2023-01-03,1,0,0
2023-01-03 01:00:00,1,0,0
2023-01-03 02:00:00,1,0,0
2023-01-03 03:00:00,1,0,0
2023-01-03 04:00:00,1,0,0
2023-01-03 05:00:00,1,0,0
2023-01-03 06:00:00,1,0,0
2023-01-03 07:00:00,1,0,0
2023-01-03 08:00:00,1,18,0
2023-01-03 09:00:00,1,296,34
2023-01-03 10:00:00,1,0,79
2023-01-03 11:00:00,1,0,124
2023-01-03 12:00:00,1,0,153
2023-01-03 13:00:00,1,0,129
2023-01-03 14:00:00,1,0,149
2023-01-03 15:00:00,1,0,117
2023-01-03 16:00:00,1,0,56
2023-01-03 17:00:00,1,0,18
2023-01-03 18:00:00,1,0,0
2023-01-03 19:00:00,1,0,0
2023-01-03 20:00:00,1,0,0
2023-01-03 21:00:00,1,0,0
2023-01-03 22:00:00,1,0,0
2023-01-03 23:00:00,1,0,0
2023-01-04,1,0,0
2023-01-04 01:00:00,1,0,0
2023-01-04 02:00:00,1,0,0
2023-01-04 03:00:00,1,0,0
2023-01-04 04:00:00,1,0,0
2023-01-04 05:00:00,1,0,0
2023-01-04 06:00:00,1,0,0
2023-01-04 07:00:00,1,0,0
2023-01-04 08:00:00,1,25,0
2023-01-04 09:00:00,1,386,30
2023-01-04 10:00:00,1,383,95
2023-01-04 11:00:00,1,512,87
2023-01-04 12:00:00,1,658,106
2023-01-04 13:00:00,1,758,83
2023-01-04 14:00:00,1,631,95
2023-01-04 15:00:00,1,623,82
2023-01-04 16:00:00,1,477,70
2023-01-04 17:00:00,1,240,24
2023-01-04 18:00:00,1,6,0
2023-01-04 19:00:00,1,0,0
2023-01-04 20:00:00,1,0,0
2023-01-04 21:00:00,1,0,0
2023-01-04 22:00:00,1,0,0
2023-01-04 23:00:00,1,0,0
2023-01-05,1,0,0
2023-01-05 01:00:00,1,0,0
2023-01-05 02:00:00,1,0,0
2023-01-05 03:00:00,1,0,0
2023-01-05 04:00:00,1,0,0
2023-01-05 05:00:00,1,0,0
2023-01-05 06:00:00,1,0,0
2023-01-05 07:00:00,1,0,0
2023-01-05 08:00:00,1,50,0
2023-01-05 09:00:00,1,477,25
2023-01-05 10:00:00,1,738,39
2023-01-05 11:00:00,1,729,71
2023-01-05 12:00:00,1,764,58
2023-01-05 13:00:00,1,905,58
2023-01-05 14:00:00,1,887,55
2023-01-05 15:00:00,1,832,48
2023-01-05 16:00:00,1,707,37
2023-01-05 17:00:00,1,403,21
2023-01-05 18:00:00,1,17,0
2023-01-05 19:00:00,1,0,0
2023-01-05 20:00:00,1,0,0
2023-01-05 21:00:00,1,0,0
2023-01-05 22:00:00,1,0,0
2023-01-05 23:00:00,1,0,0
2023-01-06,1,0,0
2023-01-06 01:00:00,1,0,0
2023-01-06 02:00:00,1,0,0
2023-01-06 03:00:00,1,0,0
2023-01-06 04:00:00,1,0,0
2023-01-06 05:00:00,1,0,0
2023-01-06 06:00:00,1,0,0
2023-01-06 07:00:00,1,0,0
2023-01-06 08:00:00,1,0,0
2023-01-06 09:00:00,1,0,23
2023-01-06 10:00:00,1,0,62
2023-01-06 11:00:00,1,0,98
2023-01-06 12:00:00,1,0,122
2023-01-06 13:00:00,1,0,129
